animal_type,product_type,product_count,brand_count,avg_price,avg_rating,total_rating_number,total_review_count,demand_proxy,demand_per_brand,competition_score,competition_tier,gap_score,gap_rank,opportunity_score,opportunity_rank
Cats,Food,175,60,32.769072164948454,4.424571428571428,730908,843,730908,12181.8,4.443771544205793,Very High,11.559843168288188,47.0,41.62539636367996,6.0
Dogs,Food,244,84,43.165035460992904,4.466393442622951,764237,884,764237,9098.059523809523,6.200802108051872,Very High,11.550253840460055,48.0,40.71531362006724,8.0
Dogs,Carriers & Travel Products,108,83,49.04554347826087,4.299074074074074,476345,214,476345,5739.096385542169,6.348526570051815,Very High,11.54579441015878,49.0,37.20948040560137,30.0
Fish & Aquatic Pets,Food,25,14,15.534545454545453,4.5680000000000005,61104,58,61104,4364.571428571428,1.270377193310476,High,11.41672280465298,50.0,38.28671196753499,24.0
Small Animals,Toys,9,8,10.66625,4.4,26104,15,26104,3263.0,0.7866364511676025,Medium,11.370867736606176,51.0,35.59911835076959,40.0
Cats,Grooming,38,33,26.886666666666663,4.1947368421052635,165901,84,165901,5027.30303030303,2.7456178722539426,High,11.343572593187378,52.0,35.75106187184868,39.0
Birds,Feeding & Watering Supplies,8,8,13.927142857142856,4.075,8191,9,8191,1023.875,0.8878123328547468,Medium,11.085863512824403,53.0,28.249228176634094,63.0
Cats,Litter & Housebreaking,114,79,36.364430379746835,4.36140350877193,620086,420,620086,7849.189873417721,5.92309791419371,Very High,11.020416554130835,54.0,39.11434454995899,14.0
Cats,Apparel,13,10,12.17,4.269230769230769,20249,20,20249,2024.9,1.008480303557636,High,10.66044732331047,55.0,32.50493827317802,49.0
Dogs,Beds & Furniture,228,152,41.24433155080214,4.331140350877193,1258619,640,1258619,8280.388157894737,10.821951077632997,Very High,10.452173393060455,56.0,39.07453426176035,15.0
Cats,Beds & Furniture,198,134,43.48020134228188,4.357070707070707,720640,430,720640,5377.910447761194,9.934833149455638,Very High,10.435126449519602,57.0,37.428287922926586,28.0
Birds,Birdcage Accessories,26,21,20.13909090909091,4.288461538461538,27789,34,27789,1323.2857142857142,2.0522981222339793,High,10.100287402895173,58.0,30.828156877298518,57.0
Dogs,Litter & Housebreaking,122,85,22.89178947368421,4.39016393442623,1363792,571,1363792,16044.611764705882,6.01736668105808,Very High,10.064023619669365,59.0,42.51079449735422,5.0
Dogs,Training & Behavior Aids,107,92,30.016808510638295,4.288785046728972,533700,251,533700,5801.086956521739,6.976255159007498,Very High,9.992757456360646,60.0,37.16649521148678,31.0
Dogs,Grooming,162,121,31.955315315315314,4.367901234567902,892236,402,892236,7373.851239669421,8.831158207134482,Very High,9.968479988273216,61.0,38.89979026392263,16.0
Cats,Health Supplies,59,47,20.25829268292683,4.154237288135593,228500,187,228500,4861.702127659574,3.8089693700225653,High,9.743257013115633,62.0,35.26677247644376,42.0
Dogs,Health Supplies,180,134,30.44,4.275555555555556,811332,454,811332,6054.7164179104475,9.848282176472472,Very High,9.564415394461255,63.0,37.2347785094539,29.0
Cats,Feeding & Watering Supplies,87,74,23.52173913043478,4.363218390804598,320625,171,320625,4332.77027027027,5.836868694684237,Very High,9.39530556077041,64.0,36.53843366622657,33.0
Cats,Treats,67,42,14.85897435897436,4.455223880597015,259604,290,259604,6181.047619047619,3.368916437280569,High,9.160709157431064,65.0,38.891452842042476,17.0
Birds,Toys,17,16,15.946153846153846,4.341176470588235,9309,22,9309,581.8125,1.7507684070043252,High,9.128611287771216,66.0,27.64402797315829,64.0
Dogs,Feeding & Watering Supplies,169,129,24.776029411764707,4.431952662721893,648783,401,648783,5029.325581395349,9.639198723877128,Very High,8.93406131271526,67.0,37.774596163870164,25.0
Dogs,Treats,458,221,26.131883116883117,4.409170305676856,1382541,3693,1382541,6255.841628959276,15.630045295891888,Very High,8.638340330022661,68.0,38.54245713303519,21.0
Fish & Aquatic Pets,Aquarium Décor,25,23,13.45,4.084,23411,30,23411,1017.8695652173913,2.2860541574102067,High,8.454818136009774,69.0,28.287617807068912,62.0
Cats,"Collars, Harnesses & Leashes",54,47,13.123469387755101,4.359259259259259,181406,94,181406,3859.7021276595747,3.8815713087811337,High,8.282014033740303,70.0,36.00139745633857,36.0
Cats,Toys,98,76,13.93820895522388,4.171428571428572,350472,295,350472,4611.473684210527,5.952829023201882,Very High,7.947197869338152,71.0,35.19233883199416,43.0
Dogs,Toys,356,190,15.263070866141732,4.255056179775281,2089485,1511,2089485,10997.28947368421,13.05623991913936,Very High,7.727172701709709,72.0,39.5954041643163,12.0
Dogs,"Collars, Harnesses & Leashes",695,396,19.72154639175258,4.365323741007194,3367629,1532,3367629,8504.113636363636,26.34779659975284,Very High,7.61333250102949,73.0,39.49929515503361,13.0
Dogs,Apparel & Accessories,433,244,18.313921052631578,4.270438799076212,996827,699,996827,4085.3565573770493,17.665371293588592,Very High,7.43392083802203,74.0,35.51044537221143,41.0
