parent_asin,product_title,brand,category_l2,category_l3,price,average_rating,rating_number,review_count,first_review_date,last_review_date,lifespan_days,lifespan_months,reviews_per_month,reviews_per_day,rating_number_per_month,velocity_score,velocity_tier
B0B7BX5QSF,"Purina Fancy Feast Grain Free, Natural Pate Wet Cat Food, Gourmet Naturals Plus Coconut Milk, Trout & Tuna Recipe - (24) 3 oz. Cans",Purina Fancy Feast,Cats,Food,,4.5,1582,5,2019-06-09 03:34:54.552,2019-07-24 12:01:34.108,45,1.4783180026281209,3.3822222222222225,0.1111111111111111,1070.1351111111112,24.917091744753115,Very High
B09PS1LQ6V,"Royal Canin Feline Health Nutrition Indoor Adult Loaf in Gravy Pouch Cat Food, 3 oz, (Pack of 12)",Royal Canin,Cats,Food,,4.6,456,4,2020-10-04 19:40:03.719,2020-10-05 02:09:49.016,0,1.0,4.0,4.0,456.0,24.49873356357682,Very High
B07YYTMWCL,"The Company of Animals - Halti Collar (18"" - 26""), Large, Blue",The Company of Animals,Dogs,"Collars, Harnesses & Leashes",12.0,4.6,8858,3,2018-03-05 08:18:09.714,2018-04-08 14:56:00.233,34,1.1169513797634691,2.6858823529411766,0.08823529411764706,7930.515294117647,24.41249279535373,Very High
B07ZFB2PV6,"Washable Dog Round Bed Small, Donut Dog Bed Small Dog, Comfy Dog Calming Cuddler Bed",ANWA,Dogs,Beds & Furniture,29.98,4.6,3370,3,2019-12-16 02:44:27.483,2020-01-12 23:24:03.224,27,1.0,3.0,0.1111111111111111,3370.0,24.36889414570218,Very High
B0BTSJH7G7,"Hill's Science Diet Adult Cat Dry Perfect Digestion, Chicken, Brown Rice, & Whole Oats Recipe, 3.5 lb. Bag",Hill's Science Diet,Cats,Food,23.99,4.7,2318,3,2021-05-02 14:49:20.146,2021-05-28 23:31:00.948,26,1.0,3.0,0.11538461538461539,2318.0,23.246674011766594,Very High
B08VTGJW9Z,"Fluval C4 Nodes, Replacement Aquarium Filter Media, 7 Ounces, 14024",Fluval,Fish & Aquatic Pets,Aquarium Pumps & Filters,14.99,4.7,2186,3,2013-04-12 23:37:05.000,2013-04-13 00:08:44.000,0,1.0,3.0,3.0,2186.0,23.070858062030304,Very High
B09GYTWCZ7,"Jemirry Ceramic Raised Cat Bowl Anti Vomiting, Elevated Cat Bowls with 15° Tilt Angle, Non-Slip Food and Water Bowls for Cat and Dog, Protect Pet's Spine, Dishwasher Safe (Blue)",Jemirry,Cats,Feeding & Watering Supplies,15.99,4.6,423,5,2020-08-24 16:45:29.196,2020-10-04 03:29:33.627,40,1.314060446780552,3.805,0.125,321.903,23.0192357971576,Very High
B09WBCBZYB,Charming Pet Baby Pulleez Bunny Squeaky Plush Dog Toy with Ropes for Pull-Through Tugging Action,Charming Pet,Dogs,Toys,9.99,4.3,2085,3,2019-06-21 17:24:07.838,2019-06-27 02:55:15.892,5,1.0,3.0,0.6,2085.0,22.929010906682155,Very High
B0BYTNQTYT,"BoxiePro Air Lightweight Clumping Cat Litter -Deep Clean- Scent Free- 6.5 lb- Plant-Based Formula -Cleaner Home -Stays Ultra Clean, Probiotic Powered Odor Control, 99.9% Dust Free",BoxiePro,Cats,Litter & Housebreaking,21.99,3.9,1353,6,2020-10-02 01:53:45.545,2020-11-30 02:26:49.115,59,1.938239159001314,3.095593220338983,0.1016949152542373,698.0562711864408,22.321760717663835,Very High
B09ZQ112J8,"YuMOVE Adult Dog Tablets | Hip and Joint Supplement for Dogs with Glucosamine, Chondroitin, Hyaluronic Acid, Green Lipped Mussel | Dogs Aged 6 to 8 | 300 Tablets",Lintbells,Dogs,Health Supplies,59.9,4.4,47825,2,2021-07-15 19:42:52.695,2021-07-22 21:31:31.349,7,1.0,2.0,0.2857142857142857,47825.0,21.550649407311955,Very High
B09Q929HB6,"INABA Twin Packs for Dogs, Grain-Free Shredded Chicken & Broth Gelée Side Dish/Complement/Topper Pouch, 1.4 Ounces per Serving, 22.4 Ounces Total (16 Servings), Chicken with Vegetables & Cheese Recipe",INABA,Dogs,Treats,17.52,3.8,73,5,2021-02-28 12:33:29.504,2021-03-23 23:38:34.109,23,1.0,5.0,0.21739130434782608,73.0,21.52032546602085,Very High
B07B4KDGCP,"Mendota Pet Slip Leash - Dog Lead and Collar Combo - Made in The USA - Camo, 1/2 in x 4 ft - for Large Breeds",Mendota Pet,Dogs,"Collars, Harnesses & Leashes",19.99,4.7,6748,3,2016-06-11 15:29:19.000,2016-07-19 17:31:40.000,38,1.2483574244415243,2.403157894736842,0.07894736842105263,5405.503157894736,21.189002729778103,Very High
B00UL40C6C,"BIXBI Dog & Cat Clean Digestion Support, 2.12 oz (60 g) - All Natural Organic Pet Superfood - Daily Mushroom Powder Supplement - USA Grown & USA Made - Veterinarian Recommended for Dogs & Cats",BIXBI,Cats,Health Supplies,17.8,4.5,1091,3,2016-12-17 22:58:01.000,2017-01-06 23:05:46.000,20,1.0,3.0,0.15,1091.0,20.987298468914553,Very High
B0B1QBFPP8,PuppyDoggy 1 Pack Poop Bag Holder for Dogs and Cats Waste Bag Dispenser Poop Bag Pouch Dispenser with 1 Roll of Free Poop Bags for Dog Leash Accessory Bicycle (Pink),PuppyDoggy,Dogs,Litter & Housebreaking,7.99,4.6,778,7,2022-05-04 01:17:54.016,2022-07-11 23:59:41.934,68,2.2339027595269383,3.1335294117647057,0.10294117647058823,348.26941176470586,20.86307343609028,Very High
B07G9QRKS7,"KRUZ PET KZV2072-03L 6 FT Bungee Leash – Wearable Jogging Leash – Over The Shoulder Hands Free Leash – Strong Reflective Heavy Duty Safety Leash with Locking Carabiner Clip, Large, Red",KRUZ PET,Dogs,"Collars, Harnesses & Leashes",28.99,3.7,162,4,2018-10-27 20:11:22.482,2018-11-01 20:19:16.888,5,1.0,4.0,0.8,162.0,20.37500080322705,Very High
B08KT873GC,Inception® Dry Dog Food Chicken Recipe – Complete and Balanced Dog Food – Meat First Legume Free Dry Dog Food – 4 lb. Bag,Inception,Dogs,Food,12.99,4.4,736,10,2019-12-15 23:55:27.811,2020-03-27 20:38:01.603,102,3.350854139290407,2.984313725490196,0.09803921568627451,219.64549019607844,19.70419367041602,Very High
B09VGZMJ8V,PuppyDoggy Dog Poop Bag Holder for Leash Waste Bag Carrier Dog Poop Bag Dispenser for Walking Running Bicycle Accessory 4 Pieces (Black + Camouflage),PuppyDoggy,Dogs,Litter & Housebreaking,7.49,4.6,680,3,2022-08-02 21:17:20.777,2022-08-05 16:50:36.043,2,1.0,3.0,1.5,680.0,19.570686918448537,Very High
B08YDQ79QH,"Vital Essentials Freeze Dried Dog Food, Turkey Mini Nibs 16 oz",Vital Essentials,Dogs,Food,41.99,4.8,675,3,2021-06-28 05:49:58.733,2021-07-13 23:35:05.148,15,1.0,3.0,0.2,675.0,19.548579228128894,Very High
B0B7DWVN38,Franklin Pet Supply Slow Feed Tornado Bowl - Pet Bowl - Dog Bowl- Food - Water Bowl - Small - Medium - Large Dog Food Bowl - Puppy - Slow Feed Dog Bowl Grey,Franklin Sports,Dogs,Feeding & Watering Supplies,10.99,4.5,666,3,2019-02-14 19:15:38.629,2019-02-24 01:38:01.173,9,1.0,3.0,0.3333333333333333,666.0,19.50837013774687,Very High
B08XVZ17RZ,"CROWATTS 6 FT Strong Durable Nylon Dog Leash with Comfortable Padded Handle and Highly Reflective Threads for Small,Medium and Large Dogs (6 FT, Blue)",CROWATTS,Dogs,"Collars, Harnesses & Leashes",10.99,4.7,653,3,2021-05-07 21:40:19.564,2021-05-29 18:13:34.886,21,1.0,3.0,0.14285714285714285,653.0,19.449322054371596,Very High
B089DPVXSP,"Lickimat Classic Dog Slow Feeders, Lick Mat, Boredom Anxiety Reduction; Perfect for Food, Treats, Yogurt, Peanut Butter. Fun Alternative to Slow Feed Dog Bowl! (Green & Turquoise, Soother & Buddy)",Lickimat,Dogs,Feeding & Watering Supplies,16.95,4.4,16388,2,2021-11-07 23:44:27.370,2021-12-04 17:44:53.681,26,1.0,2.0,0.07692307692307693,16388.0,19.408731314127653,Very High
B09FTJH9WY,"Tinaco Luxurious Calming Dogs/Cats Bed Mats, Washable Removable Couch Cover, Plush Long Fur Mat for Pets, Waterproof Lining, Perfect for Small, Medium and Large Dogs and Cats (Gradient Brown, L)",Tinaco,Dogs,Beds & Furniture,45.86,4.1,2047,3,2021-12-16 14:58:16.883,2022-01-22 07:22:03.157,36,1.1826544021024967,2.5366666666666666,0.08333333333333333,1730.8522222222223,19.34111682822434,Very High
B0C5F8JD8H,"Vital Essentials Freeze Dried Cat Food, Chicken Dinner Patties 8 oz",Vital Essentials,Cats,Treats,17.99,4.4,587,3,2021-06-27 17:55:09.794,2021-07-02 16:32:24.059,4,1.0,3.0,0.75,587.0,19.130180843695882,Very High
B09JMR4X4M,Taste Of The Wild Ancient Stream Canine Recipe With Smoke-Flavored Salmon And Ancient Grains 28lb,Taste of the Wild,Dogs,Food,58.99,4.7,12923,2,2019-09-23 14:52:32.001,2019-09-27 12:52:30.604,3,1.0,2.0,0.6666666666666666,12923.0,18.933682653888777,Very High
B07HJ7WJGL,"Petaste CWWJ005 Dog Squeaky Toy, Soft Plush Durable Toys with Inside Squeaker, Monkey",Petaste,Dogs,Toys,,3.1,43,5,2019-04-08 05:25:08.499,2019-04-25 16:06:47.717,17,1.0,5.0,0.29411764705882354,43.0,18.920948169591306,Very High
B08NXCR695,"Simply Perfection Super Premium Lamb & Brown Rice Recipe Dry Dog Food 11 Lb Bag, Lamb and Brown Rice Recipe",Simply Perfection,Cats,Food,,4.2,301,4,2019-03-31 06:11:54.774,2019-05-08 04:23:38.691,37,1.2155059132720105,3.290810810810811,0.10810810810810811,247.63351351351352,18.791934963123357,Very High
B09Z9LYWCZ,"AmaGood Dog/Puppy Obedience Recall Training Agility Lead-15 ft 20 ft 30 ft 50 ft Long Leash-for Dog Training,Play,Safety,Camping (15 feet, Blue)",AMAGOOD,Dogs,Training & Behavior Aids,6.94,4.5,10692,2,2020-05-26 17:37:19.075,2020-06-22 10:38:12.444,26,1.0,2.0,0.07692307692307693,10692.0,18.554689201513312,Very High
B088873K42,"BAAPET 2 Packs 5/6 FT Dog Leash with Comfortable Padded Handle and Highly Reflective Threads Dog Leashes for Small Medium and Large Dogs (5FT-1/2'', Black+Pink)",BAAPET,Dogs,"Collars, Harnesses & Leashes",14.89,4.7,10460,2,2020-05-17 15:32:10.843,2020-05-26 02:23:45.778,8,1.0,2.0,0.25,10460.0,18.51081867068752,Very High
B07RM7NQTY,"LitterMaid P-70002 Large Crystal Litter, Easy Pour 9 Pound Bag, 9 lb.",LitterMaid,Cats,Litter & Housebreaking,,3.7,472,3,2017-03-29 23:32:44.000,2017-04-03 12:35:44.000,4,1.0,3.0,0.75,472.0,18.477286165475796,Very High
B09WQCFRF2,"Tfwadmx 2 Pack Rabbit Grass House - Natural Hand Woven Seagrass Play Hay Bed, Collapsible Hideaway Hut Toy for Bunny Hamster Guinea Pig Chinchilla Ferret",Tfwadmx,Small Animals,Houses & Habitats,26.99,4.2,525,3,2020-01-08 07:02:34.226,2020-02-09 03:45:20.618,31,1.0183968462549278,2.945806451612903,0.0967741935483871,515.516129032258,18.456364733780894,Very High
B01NAUKZU5,Glofish Four Mode Cycle Light for Interactive Aquariums,GloFish,Fish & Aquatic Pets,Aquarium Lights,21.05,4.3,947,3,2017-06-05 12:51:46.000,2017-07-09 22:39:49.720,34,1.1169513797634691,2.6858823529411766,0.08823529411764706,847.8435294117647,18.409989798409665,Very High
B091PKSZGF,"AOKLANT Dog Cat Food Mat, Bowl mat,Large (21"" x 15"") or Small (18.5"" x 11.5""),Multiple Color, Silicone Waterproof Pet Bowl Mat, Non-Stick Food Pad Cushion Waterproof,Grey",AOKLANT,Dogs,Feeding & Watering Supplies,9.99,4.3,437,3,2021-07-15 21:20:09.455,2021-08-04 01:18:08.857,19,1.0,3.0,0.15789473684210525,437.0,18.246656731129338,Very High
B09R4C54HG,Dog Barking Deterrent Devices Rechargeable Ultrasonic Dog Bark Deterrent 3 Frequency Dog Whistles That Makes Dogs Stop Barking 16.5 Ft Range Dog Barking Control Devices No Barking Device Dog Training,ELOPAW,Dogs,Training & Behavior Aids,29.99,4.0,8184,2,2021-03-15 02:22:43.460,2021-03-25 19:31:19.025,10,1.0,2.0,0.2,8184.0,18.02011697961047,Very High
B09LNPYBQM,"Tetra Whisper IQ Power Filter, 175 GPH, with Stay Clean Technology, 30 Gallons",Tetra,Fish & Aquatic Pets,Aquarium Pumps & Filters,18.99,4.4,8111,2,2018-09-20 03:07:00.714,2018-09-29 18:25:05.293,9,1.0,2.0,0.2222222222222222,8111.0,18.00219945166193,Very High
B099WH9CTM,"IMMCUTE Puppy Pee Pads 22""x23""- 50 Count | Dog Pee Training Pads Super Absorbent & Leak-Proof | Disposable Pet Piddle and Potty Pads for Puppies | Dogs | Doggie| Cats | Rabbits",IMMCUTE,Dogs,Litter & Housebreaking,17.99,4.5,7928,2,2022-12-05 14:08:33.424,2022-12-09 03:09:05.908,3,1.0,2.0,0.6666666666666666,7928.0,17.956564406544796,Very High
B07FMG4931,"Sterling Catnip Saturated Corrugated Cat Scratcher, Jumbo-2 Pack (Frustration Free Packaging)",Sterling,Cats,Beds & Furniture,,4.2,347,3,2018-10-05 08:47:39.570,2018-10-22 17:33:52.410,17,1.0,3.0,0.17647058823529413,347.0,17.55660743932342,Very High
B0B83B3W94,"SportDOG Brand WetlandHunter 425X Camouflage Remote Trainer - Rechargeable Dog Training Collar with Shock, Vibrate, and Tone - 500 Yard Range - SD-425XCAMO",SportDOG Brand,Dogs,"Collars, Harnesses & Leashes",189.95,4.5,6476,2,2020-05-02 23:48:17.646,2020-05-29 19:19:59.345,26,1.0,2.0,0.07692307692307693,6476.0,17.552025438365835,Very High
B085RV9CBL,"Plato Mini Thinkers Duck Recipe 6oz, Natural (850002221343)",PLATO,Dogs,Treats,12.98,4.4,456,3,2020-09-12 14:09:45.877,2020-10-15 05:19:34.275,32,1.0512483574244416,2.85375,0.09375,433.77,17.478315226764337,Very High
B082QHJ4R6,"ZEUS Better Bones Dog Treats, Rawhide Free Healthy Chicken Jerky Dog Treats, Salmon and Chicken Mini Bones, 12 Count",ZEUS,Dogs,Treats,,4.4,804,3,2019-12-05 20:01:45.130,2020-01-09 21:08:02.972,35,1.149802890932983,2.609142857142857,0.08571428571428572,699.2502857142857,17.457363336396092,Very High
B083XB2R75,"Royal Canin Small Adult Wet Dog Food, 3 Oz,12-count",Royal Canin,Dogs,Food,31.08,4.6,2641,4,2019-11-24 00:12:24.413,2020-01-18 21:59:24.702,55,1.8068331143232588,2.213818181818182,0.07272727272727272,1461.6734545454547,17.443318749520316,Very High
B07P62XXS9,"Purina Tidy Cats Clumping Cat Litter, Tidy Max 24/7 Performance Multi Cat Litter - 38 lb. Box",Purina Tidy Cats,Cats,Litter & Housebreaking,29.98,4.6,5482,2,2019-05-15 17:36:45.620,2019-06-12 18:17:32.202,28,1.0,2.0,0.07142857142857142,5482.0,17.218815350808097,Very High
B08P5P1NPN,"MJIYA Reflective Dog Collar, Adjustable Nylon Pet Collars with Safety Locking Buckle (Green, M(1x12-16”))",MJIYA,Dogs,"Collars, Harnesses & Leashes",,4.5,309,3,2021-03-27 00:25:39.755,2021-04-11 00:42:57.605,15,1.0,3.0,0.2,309.0,17.209716892437577,Very High
B075731Y1S,"Menkar Dog Harness, No Pull, Adjustable, Outdoor Walking, Pet Vest, Reflective, Easy Control, for Large Dogs",Menkar,Dogs,"Collars, Harnesses & Leashes",,4.4,280,5,2019-04-12 01:12:44.231,2019-06-01 14:53:07.638,50,1.6425755584756898,3.044,0.1,170.464,17.16315161345192,Very High
B08HD54X2F,"EMUST Dog Winter Coats, Windproof Dog Jackets for Cold Weather with Lofty Collar, Puppy Clothes for Small Dog Clothes for Dogs, 7 Sizes 13 Colors (Small(Pack of 1), Yellow)",EMUST,Dogs,Apparel & Accessories,20.99,4.2,4479,2,2021-12-13 05:50:50.820,2021-12-28 18:23:29.164,15,1.0,2.0,0.13333333333333333,4479.0,16.81475665081806,Very High
B0BDTL82H1,"Burt's Bees for Dogs Natural Shed Control Shampoo with Omega 3 and Vitamin E | Shedding Shampoo for All Dogs | Cruelty Free, Sulfate & Paraben Free, pH Balanced for Dogs - Made in USA, 16 Ounces",Burt's Bees,Dogs,Grooming,7.6,4.1,3907,2,2022-06-21 14:12:21.301,2022-07-14 00:39:33.539,22,1.0,2.0,0.09090909090909091,3907.0,16.541562026325348,Very High
B08T69XGNV,"LUXACO Dog Cat Food Mat,Food Grade Silicone Pet Bowl Pad,Non-Slip and Waterproof Dog Place Mat,Food and Water Bowl Cushion",LUXACO,Dogs,Feeding & Watering Supplies,,4.4,244,3,2021-07-09 08:09:26.407,2021-07-14 15:29:38.006,5,1.0,3.0,0.6,244.0,16.503774631634183,Very High
B09T56NTWJ,"Star Wars for Pets Plush Storm Trooper Figure Dog Toy | Soft Star Wars Squeaky Dog Toy | Large | Adorable Toys for All Dogs, Official Dog Toy Product of Star Wars for Pets",STAR WARS,Dogs,Toys,7.0,4.5,3775,2,2022-03-23 23:08:44.866,2022-04-12 12:52:51.522,19,1.0,2.0,0.10526315789473684,3775.0,16.472841054530782,Very High
B0B4TDFX5W,"Purina Beyond Natural Pate Wet Dog Food Variety Pack, Grain Free Chicken & Beef Ground Entrees - (2 Packs of 6) 13 oz. Cans",Beyond,Cats,Food,,4.5,3620,2,2019-06-29 22:30:59.213,2019-07-12 16:39:49.486,12,1.0,2.0,0.16666666666666666,3620.0,16.38901101953128,Very High
B09BBL89HP,"SmartBones Stuffed Twistz with Pork Flavor 6 Count, Rawhide-Free Chews for Dogs, No Artificial Preservatives or Flavors Added, (SBST-00301), 6 Count | Pork",SmartBones,Dogs,Treats,7.5,4.6,214,3,2020-10-13 18:55:17.837,2020-11-12 20:23:52.535,30,1.0,3.0,0.1,214.0,16.111914084382988,Very High
B07YYTMWD8,"The Company of Animals - Halti Double Ended Lead (6'6""), Red, Model Number: HD034",The Company of Animals,Dogs,"Collars, Harnesses & Leashes",20.92,4.5,3100,2,2018-12-20 01:00:21.449,2018-12-25 17:54:05.994,5,1.0,2.0,0.4,3100.0,16.0789598382009,Very High
B08X6RSBVY,Fruitables Greek Yogurt Dog Treats – Healthy Dog Treats – Yogurt Treats for Dogs - Strawberry and Pumpkin Flavor – 7 Ounces,Fruitables,Dogs,Treats,,4.7,2996,2,2019-12-27 16:05:30.296,2020-01-12 01:53:35.086,15,1.0,2.0,0.13333333333333333,2996.0,16.010734134633328,Very High
B0B783VQD7,"Wnoke Dog Nail Grinder – Pet Nail Grinder for Small, Medium and Large Dogs with Nail Clippers Set – Low-Noise Dog/cat Nail Trimmer with LED Light – Rechargeable Cordless Pet Nail Trimmer, White",Wnoke,Cats,Grooming,19.99,4.6,2955,2,2022-08-13 14:45:39.632,2022-08-23 02:01:33.997,9,1.0,2.0,0.2222222222222222,2955.0,15.983184564136184,Very High
B09D947LRC,"Starplast Small Dog Kennel: 1 Outdoor Plastic Pet House, Weather & Water Resistant, Easy to Assemble, 27.9 x 27.9 x 26.8 Inches, 2 Color Options 10-701",Starplast,Dogs,"Crates, Houses & Pens",93.98,4.2,2726,2,2020-11-15 21:08:01.035,2020-12-12 09:30:42.803,26,1.0,2.0,0.07692307692307693,2726.0,15.821914765691178,Very High
B01M0CRVR7,Dog Costume Pet Costume Pet Suit Cowboy Rider Style by DELIFUR (Large),DELIFUR,Dogs,Apparel & Accessories,19.99,4.5,2660,2,2017-09-25 16:50:23.643,2017-09-25 16:50:23.643,0,1.0,2.0,2.0,2660.0,15.772914541955378,Very High
B07ZZSVKNC,"Ultra Paws Durable Dog Paw Protector|Dog Boots|Dog Shoes|Black Light Duty Heat, Water Resistant Dog Booties for hot Pavement for Medium Dogs (Size 6)",Ultra Paws,Dogs,Apparel & Accessories,37.95,4.0,2573,2,2015-03-03 04:05:02.000,2015-03-03 04:08:49.000,0,1.0,2.0,2.0,2573.0,15.706432776312145,Very High
B09F1W7FQ5,"TagVault Pet (4 Pack) - The Original AirTag Dog Collar Waterproof Mount, Ultra-Durable, Fits All Width Collars | Elevation Lab",Elevation Lab,Dogs,"Collars, Harnesses & Leashes",59.95,4.6,2567,2,2023-02-09 11:58:45.184,2023-03-11 05:01:32.939,29,1.0,2.0,0.06896551724137931,2567.0,15.701765329619704,Very High
B0C3PWNQBH,"BTINESFUL Tie-Out Check Cord Long Rope Dog Leash, 12ft 20ft 30ft 50ft Recall Training Lead Leash- Great for Large Medium Small Dogs Training, Playing, Camping, or Backyard (50ft, Orange Black)",BTINESFUL,Dogs,Training & Behavior Aids,27.99,4.6,2523,2,2020-12-03 21:29:28.445,2020-12-08 20:58:11.947,4,1.0,2.0,0.5,2523.0,15.667200447322207,Very High
B09XJD371B,"Hydrapeak Dog Bowl - Non Slip Stainless Steel Dog Bowls for Water or Food (8 Cup, Black)",Hydrapeak,Dogs,Feeding & Watering Supplies,27.95,4.7,2434,2,2021-09-06 03:01:17.860,2021-09-07 08:09:55.510,1,1.0,2.0,2.0,2434.0,15.59540407103338,Very High
B0B9MF6JG3,"VinDox 16 Pack Cat Water Fountain Filters, Pet Fountain Replacement Filters, Cat Fountain Filter for 84oz/2.5L Square Pet Fountains, Automatic Water Dispenser Drinking Fountain",VinDox,Cats,Feeding & Watering Supplies,17.98,4.6,2379,2,2021-03-09 06:07:29.774,2021-03-22 23:29:32.002,13,1.0,2.0,0.15384615384615385,2379.0,15.54971153333104,Very High
B0BGR4LX1K,"Blue Buffalo Tastefuls Natural Flaked Wet Cat Food Variety Pack, Tuna, Chicken and Fish & Shrimp Entrées in Gravy 5.5-oz Cans (24 Count - 8 of Each)",Blue Buffalo,Cats,Food,34.49,4.3,2034,2,2021-07-05 15:24:23.489,2021-07-17 14:37:21.105,11,1.0,2.0,0.18181818181818182,2034.0,15.23650219575339,Very High
B09F99SQRN,fuguitex Waterproof Dog Blanket Bed Cover Dog Crystal Velvet Moroccan Fuzzy Cozy Plush Pet Blanket Throw Blanket for Couch Sofa,fuguitex,Dog beds & supplies,,28.99,4.6,1942,2,2020-12-08 10:45:46.660,2020-12-08 17:01:38.736,0,1.0,2.0,2.0,1942.0,15.14397689875488,Very High
B00LVUOYSW,"Petrainer Dog Training Collar 330yd Remote Dog Shock Collar with Beep, Vibration and Shock Electronic Collar",Petrainer,Dogs,"Collars, Harnesses & Leashes",,4.0,1795,2,2015-03-12 03:31:19.000,2015-03-28 20:52:46.000,16,1.0,2.0,0.125,1795.0,14.98663449772429,Very High
B08S3J9RDW,"Faleela Breakaway Cat Collar with Bells - 2 Pack Cat Collar with Bells, Cat Collars with Bandana, Accessories for Pet Collars, Adjustable for Cats and Small Dogs",Faleela,Cats,"Collars, Harnesses & Leashes",9.99,4.6,2422,2,2021-11-10 22:44:28.322,2021-12-13 16:41:47.656,32,1.0512483574244416,1.9024999999999999,0.0625,2303.9275,14.82572917385344,Very High
B09DYFNYM8,"PASRLD Dog Sweater Leopard Pattern Dog Turtleneck SweatersKnitwear Warm Pet Sweater for Fall Winter (M, Yellow)",PASRLD,Dogs,Apparel & Accessories,14.99,4.3,1598,2,2021-01-30 00:04:29.279,2021-02-26 06:24:05.307,27,1.0,2.0,0.07407407407407407,1598.0,14.754267425667908,Very High
B0C647YC71,"Anti Barking Device,3 Frequency Sonic Bark Deterrents,33Ft Dog Barking Deterrent Ultrasonic with 3 Adjustable Level, Dog Barking Deterrent Pet Behavior Training Tool (1PCS)",Berytta,Dogs,Training & Behavior Aids,20.99,4.5,1582,2,2018-06-11 19:26:03.129,2018-07-09 05:48:06.451,27,1.0,2.0,0.07407407407407407,1582.0,14.734154119762024,Very High
B0BD52M288,SSRIVER Artificial Grass for Dogs Pee Tray Fake Grass Mat for Professional Puppy Potty Trainer Replacement Dog Grass Pad for Indoor and Outdoor (51.5x32 Inch(Pack of 1)),SSRIVER,Dogs,Litter & Housebreaking,39.99,4.3,3649,2,2019-12-14 00:56:25.080,2020-01-17 21:30:58.244,34,1.1169513797634691,1.7905882352941176,0.058823529411764705,3266.9282352941177,14.687268569046458,Very High
