parent_asin,product_title,brand,main_category,category_l1,category_l2,category_l3,price,price_missing,average_rating,rating_number,demand_proxy,review_count,avg_review_rating,avg_helpful_vote,total_helpful_vote,verified_purchase_ratio,avg_review_text_length,first_review_date,last_review_date,weighted_rating_signal,value_score
B0763M6Y5H,"Howstar Pet Camouflage Cold Weather Coat, Small Dog Vest Harness Puppy Winter Padded Outfit Warm Garment (S, Pink)",Howstar,Pet Supplies,Pet Supplies,Dogs,Apparel & Accessories,7.09,False,4.2,2456,2456,1,4.0,0.0,0,1.0,124.0,2020-01-14 20:24:21.792,2020-01-14 20:24:21.792,32.78812476458895,4.624559205160642
B08R78LDF8,"PureBites Turkey For Dogs, 1.16Oz / 33G - Entry Size",PureBites,Pet Supplies,Pet Supplies,Dogs,Treats,13.99,False,4.5,1667,1667,2,3.0,1.0,2,1.0,151.0,2016-02-13 21:17:45.000,2019-01-12 18:21:20.370,33.38721262313412,2.386505548472775
B006O7A86O,"ComfortFlex American Made Fully Padded Nylon Non-Chafing Reflective Quick Fit Adjustable Sport Harness for Active Dogs (XSmall, Saffron Yellow)",ComfortFlex,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",39.5,False,4.6,1275,1275,2,3.0,3.0,6,1.0,969.0,2016-06-17 18:30:32.000,2016-06-17 18:30:32.000,32.89683313396178,0.8328312185813108
B0BMPT9HQY,"NACOCO Dog Christmas Dresses Cat Xmax Suits Small Pet Haliday Outfits Winter Warm Clothes (Red,XS)",NACOCO,Pet Supplies,Pet Supplies,Dogs,Apparel & Accessories,16.99,False,4.2,510,510,1,5.0,0.0,0,1.0,108.0,2021-09-07 22:30:47.184,2021-09-07 22:30:47.184,26.19275227885556,1.5416569911039177
B0BX638RK9,"Dog Collar with Flower for Girl Dog,Puppy Dog Collar Cute Girl Dog Collars with Safety Metal Buckle Adjustable Floral Pattern Dog Collar for Puppy Small Medium Large Dogs (S, White Flower)",LEJGEQR,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",9.99,False,4.4,3464,3464,1,5.0,0.0,0,1.0,349.0,2022-11-09 19:04:53.318,2022-11-09 19:04:53.318,35.86205881114562,3.5897956767913537
B08M5QS32K,"Blueberry Pet Essentials 10 Patterns Pink Flamingo on Light Emerald Adjustable Dog Collar, Small, Neck 12""-16""",Blueberry Pet,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",12.99,False,4.8,12112,12112,3,5.0,0.0,0,1.0,185.0,2016-09-09 19:48:32.000,2022-11-26 01:02:42.436,45.12976576808065,3.474192899775262
B075K1YK7G,"WOWOWMEOW Small Animals Warm Hanging Cage Cave Bed for Hamsters, Guinea-Pigs, Rats and Chinchillas (M, Dot-Grey)",WOWOWMEOW,Pet Supplies,Pet Supplies,Small Animals,Houses & Habitats,16.99,False,4.5,2017,2017,2,5.0,0.0,0,1.0,61.5,2020-11-29 23:34:04.171,2021-01-13 16:56:20.113,34.24437990411099,2.0155609125433194
B0989W3BJ7,"DOGWONG Summer Cotton Dog Collar with Bowtie, Flamingo Pink Dog Collar Comfortable Durable Hawaiian Beach Palm Tree Dog Collar for Small Medium Large Dog",DOGWONG,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",16.99,False,4.6,1480,1480,1,5.0,0.0,0,1.0,49.0,2023-02-27 17:06:08.571,2023-02-27 17:06:08.571,33.58217494563187,1.9765847525386624
B08YY81L9J,"Dog’s Recovery Suit Post Surgery Shirt for Female Male Dog, E-Collar Alternative Wound Protective Clothes (red White-XL)",Kukaster Pet,Pet Supplies,Pet Supplies,Dogs,Health Supplies,20.99,False,4.4,2169,2169,1,5.0,2.0,2,1.0,967.0,2021-10-28 21:31:27.873,2021-10-28 21:31:27.873,33.80292276475183,1.610429860159687
B07XGKT7GZ,"Beebiepet Classic Nylon Dog Collar with Quick Release Buckle Adjustable Dog Collars for Small Medium Large Dogs with a Free 5 ft Matching Dog Leash (M Neck 14""-19"", Black)",Beebiepet,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",12.99,False,4.6,7545,7545,1,5.0,0.0,0,1.0,57.0,2019-10-29 21:03:34.471,2019-10-29 21:03:34.471,41.072355342411576,3.161844137214132
B096RRRRXR,The Honest Kitchen Human Grade Dehydrated Whole Grain Dog Food – Complete Meal or Dog Food Topper – Chicken 1.75 oz (Pack of 12),The Honest Kitchen,Pet Supplies,Pet Supplies,Dogs,Food,27.48,False,4.4,9729,9729,14,3.642857142857143,0.14285714285714285,2,0.5,610.6428571428571,2014-11-26 19:00:03.000,2021-04-08 14:22:28.299,40.405064370792225,1.4703444094174754
B0BGS9Q7WS,"Dog Puzzle Toys, Crinkle Paper Squeaky Dog Toys for Boredom and Stimulating, Enrichment Snuffle Treat Dispensing Interactive Dog Toy, No Stuffing Plush Chew Cute Small Medium Dog Puppy Gift, Sheep",REQIHO,Pet Supplies,Pet Supplies,Dogs,Toys,11.99,False,4.4,97,97,1,5.0,1.0,1,0.0,669.0,2022-12-18 20:31:43.581,2022-12-18 20:31:43.581,20.17385690615052,1.682556872906632
B09SD37N1K,"Apasiri Tough Dog Toys for Aggressive Chewers Large Breed, Dog Chew Toys, Durable Dog Toys, Dog Bones Made with Nylon and Rubber, Big Indestructible Dog Toy, Medium Puppy Chew Toys Teething Chew Toys",Apasiri,Pet Supplies,Pet Supplies,Dogs,Toys,11.85,False,4.3,6817,6817,3,4.333333333333333,7.333333333333333,22,0.6666666666666666,312.0,2020-11-16 18:12:54.263,2021-07-13 11:37:44.339,37.95748224660075,3.2031630587848734
B09D7BXRPP,"Washable Dog Bed Deluxe Plush Dog Crate Beds Fulffy Comfy Kennel Pad Anti-Slip Pet Sleeping Mat for Large, Jumbo, Medium, Small Dogs Breeds, 23"" x 18"", Gray",KSIIA,Pet Supplies,Pet Supplies,Dogs,Beds & Furniture,21.99,False,4.6,6844,6844,2,4.5,0.5,1,0.5,436.0,2021-12-30 18:00:13.177,2022-09-11 22:08:30.129,40.62385919352372,1.8473787718746577
B08H4F1H8F,INABA Churu Chicken Lickable Creamy Purée Cat Treats 2 Flavor Variety Pack of 10 Tubes,INABA,Pet Supplies,Pet Supplies,Cats,Treats,,True,4.2,69,69,1,5.0,0.0,0,1.0,370.0,2021-06-29 15:30:47.381,2021-06-29 15:30:47.381,17.84368001660731,
B0BMK3ZP1R,"Temptations Kitten Treats, Chicken & Dairy, Crunchy and Soft Treat, 3 oz. (Pack of 12)",Temptations,Pet Supplies,Pet Supplies,Cats,Treats,30.96,False,4.8,852,852,2,5.0,0.0,0,0.0,384.5,2021-12-28 16:49:45.288,2022-01-11 06:40:45.544,32.394045827960056,1.0463193096886323
B09Z2SLGJ3,"Nobleza Puppy Pads, Extra Large 28""×34"" Super Absorbent Pee Pads for Dogs, Leak-Proof 5-Layer Pet Training Pads with Quick-Dry Surface for Potty Training, 40 Count",Nobleza,Pet Supplies,Pet Supplies,Dogs,Litter & Housebreaking,29.99,False,4.5,183,183,1,4.0,1.0,1,0.0,378.0,2022-06-04 01:18:43.626,2022-06-04 01:18:43.626,23.467210909240436,0.7825011973738059
B0BPLRKMTH,HaiYUAN Dog Tie Out Cable 10/15/20/25/30FT Dog Run Cable Rosy Pink/Blue/Purple/Silver/Red/Green/YellowTie Out Cable for Large Dogs Heavy Duty for Outside Hold Large Dogs Up to 250LBS,HaiYUAN,Pet Supplies,Pet Supplies,Dogs,Training & Behavior Aids,16.99,False,4.3,50,50,1,5.0,0.0,0,0.0,300.0,2023-02-15 04:14:05.661,2023-02-15 04:14:05.661,16.9068502207146,0.9951059576641907
B0B8S8Y486,"PoyPet No Pull Dog Harness, Reflective Comfortable Vest Harness with Front & Back 2 Leash Attachments and Easy Control Handle Adjustable Soft Padded Pet Vest for Small to Large Dogs (Blue,XL)",PoyPet,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",20.99,False,4.6,22560,22560,7,4.428571428571429,0.0,0,1.0,189.57142857142858,2019-03-01 22:25:23.302,2021-06-15 06:07:59.797,46.11029894200545,2.1967746041927323
B0784W9828,"Vecomfy Dog Diapers Female for Small Dogs 3 Pack,Premium Washable Reusable Leakproof New Born Puppy Nappies ,M",vecomfy,Pet Supplies,Pet Supplies,Dogs,Litter & Housebreaking,15.99,False,4.5,1703,1703,2,3.5,0.5,1,1.0,229.0,2019-06-17 14:36:55.915,2020-04-11 07:37:50.452,33.483301683251675,2.0940151146498858
B017UQCB3A,"GoTags Stainless Steel Pet ID Tags, Personalized Dog Tags and Cat Tags, up to 8 Lines of Custom Text, Engraved on Both Sides, in Bone, Round, Heart, Bow Tie and More",GoTags,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",8.95,False,4.7,116226,116226,42,4.904761904761905,0.07142857142857142,3,0.9761904761904762,158.8095238095238,2014-12-09 17:02:02.000,2022-07-18 16:25:12.722,54.81751213573852,6.124861691143969
B07Y9C3WWV,"Dog Harness No Pull Ultra Soft Breathable Padded Pet Harness 2 Adjustable Botton, 3M Reflective Pet Harness for Dogs Easy Control for Small Medium Large Dogs",PORDLIE,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",20.12,False,4.0,1624,1624,1,1.0,0.0,0,1.0,247.0,2023-03-02 19:42:49.124,2023-03-02 19:42:49.124,29.57305237905535,1.4698336172492719
B0BBM1NKB9,"Cat Scratching Post Ball Toy, Cat Scratcher Featuring with Bell Natural Sisal Cat Scratching Rotatable Ball, Scratch Pad for Indoor Cats or Kittens Anti Depression, Keep Cats Fit and Protect Furniture",MelkTemn,Pet Supplies,Pet Supplies,Cats,Beds & Furniture,39.99,False,3.9,542,542,1,5.0,3.0,3,0.0,556.0,2020-02-25 22:16:31.853,2020-02-25 22:16:31.853,24.558726347742347,0.6141216891158376
B0772JNFZG,Stinky G Polka Dot Dog Sweater French Pink Size #10,Stinky G,Pet Supplies,Pet Supplies,Dogs,Apparel & Accessories,15.99,False,4.6,1310,1310,1,5.0,0.0,0,1.0,120.0,2017-11-03 17:36:40.738,2017-11-03 17:36:40.738,33.02130922531302,2.065122528162165
B07DTJB854,Omega Paw Elite Self Cleaning Litter Box Large EL-RA20-1,Omega Paw,Pet Supplies,Pet Supplies,Cats,Litter & Housebreaking,57.6,False,4.0,11749,11749,19,4.0,4.157894736842105,79,0.8421052631578947,352.6842105263158,2018-08-12 02:33:48.256,2023-01-12 16:37:17.474,37.48643407828922,0.6508061471925212
B00IT81GPS,K9 Care Labs Glucosamine for Dogs - 120 Chewable Tablets - Joint Support for Dogs - 500mg Glucosamine 400mg Chondroitin 166mg Vitamin C - Made in USA,K9 Care Labs,Pet Supplies,Pet Supplies,Dogs,Health Supplies,,True,4.3,1092,1092,1,5.0,1.0,1,1.0,449.0,2014-08-23 11:07:25.000,2014-08-23 11:07:25.000,30.085730399159115,
B01N1I8PX8,"Step in Dog Harness by Peak Pooch - Padded Mesh Fabric Dog Vest with Reflective Trim, Lifting Handles, Velcro and Buckle Straps - Orange Dog Harness - XL",Peak Pooch,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",31.99,False,4.2,2170,2170,2,4.5,0.0,0,1.0,323.0,2019-05-03 16:46:32.521,2019-09-11 16:13:22.170,32.268361313488825,1.0087015102684846
B0B23N6QC2,"INABA Churu Cat Treats, Grain-Free, Lickable, Squeezable Creamy Purée Cat Treat/Topper with Vitamin E & Taurine, 0.5 Ounces Each Tube, 24 Tubes (4 per Pack), Chicken with Scallop Recipe",INABA,Pet Supplies,Pet Supplies,Cats,Food,15.08,False,4.8,2093,2093,1,4.0,0.0,0,1.0,72.0,2022-11-12 22:10:44.039,2022-11-12 22:10:44.039,36.70479067886632,2.4340046869274747
B0B8MCRV2T,"Freefa Slow Feeder Dog Bowls, (2 Cup) Dog Slow Feeder Bowl, Puzzle Dog Food Bowl, Maze Dog Food Bowl, Slow Feeder Dog Bowls Large Breed, Medium Breed, Small Breed, Slow Eating Bowl, Puppy Bowl",Freefa,Pet Supplies,Pet Supplies,Dogs,Feeding & Watering Supplies,12.99,False,4.5,5000,5000,2,3.5,0.0,0,1.0,174.0,2021-02-18 14:43:07.712,2022-12-31 18:39:00.762,38.32826927138507,2.950598096334493
B06XQTSWFN,"Soft Mesh Dog Harness No Pull Walking Comfort Padded Vest Harnesses Adjustable (S, Dark Blue)",WONDERPUP,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",,True,4.3,2530,2530,1,5.0,0.0,0,1.0,22.0,2021-12-10 10:10:46.232,2021-12-10 10:10:46.232,33.69638997034403,
B074YYFFSF,"Malier 8 Piece Squeaky Dog Toys, Plush Puppy Dog Toys, Suitable for Puppies and Small Dogs",Malier,Pet Supplies,Pet Supplies,Dogs,Toys,,True,3.9,70,70,1,5.0,0.0,0,1.0,975.0,2018-01-31 04:51:40.697,2018-01-31 04:51:40.697,16.62445152046113,
B09N9VZ5CG,Ian and Rick's Daily Bird Food Mix Seeds Nuts Veggies Fruits Economy Blend Medium and Large Parrot Diet African Greys Macaws Cockatoos,Birds LOVE,Pet Supplies,Pet Supplies,Birds,Food,,True,4.3,28,28,1,4.0,0.0,0,0.0,392.0,2022-08-23 03:13:03.845,2022-08-23 03:13:03.845,14.479372068941839,
B07FMG4931,"Sterling Catnip Saturated Corrugated Cat Scratcher, Jumbo-2 Pack (Frustration Free Packaging)",Sterling,Pet Supplies,Pet Supplies,Cats,Beds & Furniture,,True,4.2,347,347,3,4.0,0.3333333333333333,1,0.0,525.6666666666666,2018-10-05 08:47:39.570,2018-10-22 17:33:52.410,24.579250415052794,
B09CYWRG2J,"Queenmore Small Dog Pullover Sweater, Cold Weather Cable Knitwear, Classic Turtleneck Thick Warm Clothes for Chihuahua, Bulldog, Dachshund, Pug (Lilac, X-Large)",Queenmore,Pet Supplies,Pet Supplies,Dogs,Apparel & Accessories,23.99,False,4.6,1383,1383,1,5.0,1.0,1,1.0,66.0,2023-01-05 12:48:15.257,2023-01-05 12:48:15.257,33.270572426417026,1.3868517059782004
B0BPL53PMD,"voopet Service Dog Harness, Easy On and Off Over Head Dog Vest Harness Fasten Quickly, Breathable and 3M Reflective Adjustable Pet Halters with Easy Control Handle for Small Medium Large Dogs",VOOPET,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",21.99,False,4.2,3892,3892,1,5.0,0.0,0,1.0,62.0,2021-02-03 16:26:06.067,2021-02-03 16:26:06.067,34.721128459963914,1.5789508167332387
B08MXP7RBM,"6 Inch Beef Tendon for Dogs (25 Pcs/Pack) - Backstrap Tendon Dog Chew - No Hide - 100% Meat Dog Treat - Long Lasting Dog Chew - Packaged in The USA - Supports Joint Health, Skin, & Coat in Dogs",Amazing Dog Treats,Pet Supplies,Pet Supplies,Dogs,Treats,29.99,False,3.9,568,568,1,5.0,0.0,0,1.0,187.0,2021-02-20 23:44:05.072,2021-02-20 23:44:05.072,24.74113369309269,0.8249794495862851
B01I6VMYB2,"Gooby Fleece Vest Dog Sweater - Peach, X-Large - Warm Pullover Fleece Dog Jacket with O-Ring Leash - Winter Small Dog Sweater Coat - Cold Weather Dog Clothes for Small Dogs Boy or Girl",Gooby,Pet Supplies,Pet Supplies,Dogs,Apparel & Accessories,13.6,False,4.2,22018,22018,13,3.769230769230769,2.769230769230769,36,1.0,194.92307692307693,2015-11-16 14:30:48.000,2022-02-11 21:34:50.153,41.998576183136095,3.0881306017011836
B01MR4ETZQ,"DroolingDog XS Dog Clothes Pet Shirts Summer Dog Clothes T Shirt Dog Costume for Small Dogs, XS, Black",DroolingDog,Pet Supplies,Pet Supplies,Dogs,Apparel & Accessories,10.99,False,4.3,1772,1772,1,5.0,0.0,0,1.0,202.0,2019-08-28 01:50:36.304,2019-08-28 01:50:36.304,32.16584171611909,2.92682818163049
B094ZPCJ93,"Personalized No Pull Dog Harness with Custom Name and Phone Number, Heavy Duty Medium Large Pet Vest to Prevent Tugging, Pulling, or Choking, Training and Walking",PawPawify,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",16.99,False,4.5,758,758,1,5.0,1.0,1,1.0,259.0,2021-08-07 19:16:46.640,2021-08-07 19:16:46.640,29.844007998280336,1.7565631546957232
B09H8TH13T,"Furhaven 44"" Round Cooling Gel Foam Dog Bed Microvelvet Snuggery w/ Removable Washable Cover - Silver, 44-inch",Furhaven,Pet Supplies,Pet Supplies,Dogs,Beds & Furniture,110.99,False,4.1,23663,23663,7,4.428571428571429,0.14285714285714285,1,1.0,137.0,2019-09-14 21:14:44.587,2023-02-20 02:04:55.382,41.29401175829738,0.3720516421145813
B074K22YBS,"Loving Pets Products It'S Purely Natural Chicken Jerky Bone-Shaped Dog Treat, 4-Ounce",Loving Pets,Pet Supplies,Pet Supplies,Dogs,Treats,,True,4.4,734,734,1,3.0,0.0,0,1.0,125.0,2020-02-03 09:11:19.696,2020-02-03 09:11:19.696,29.039430196536482,
B09HXS3JP4,"PIXRIY Dog Sweater, Soft Fleece Vest with Leash Ring Pullover Jacket Winter Pet Dog Clothes for Puppy Small Dogs Cats Teddy Chihuahua Yorkshire for Christmas (XS, Purple)",PIXRIY,Pet Supplies,Pet Supplies,Dogs,Apparel & Accessories,7.99,False,4.1,3274,3274,1,3.0,0.0,0,1.0,181.0,2020-01-17 17:00:20.616,2020-01-17 17:00:20.616,33.18569990708434,4.153404243690155
B088873K42,"BAAPET 2 Packs 5/6 FT Dog Leash with Comfortable Padded Handle and Highly Reflective Threads Dog Leashes for Small Medium and Large Dogs (5FT-1/2'', Black+Pink)",BAAPET,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",14.89,False,4.7,10460,10460,2,4.5,0.0,0,1.0,235.0,2020-05-17 15:32:10.843,2020-05-26 02:23:45.778,43.500423876115676,2.921452241512134
B09NRL838S,ARCA PET Cotton Swabs for Dogs Cats and Small Pets - Ear Cleaner Swabs with Long Plastic Handle - Ear Cleaning Supply for Puppies and Pets - Multipurpose Cotton Sticks for Pets (100 Buds),ARCA PET,Pet Supplies,Pet Supplies,Dogs,Health Supplies,12.99,False,4.6,186,186,1,3.0,0.0,0,1.0,98.0,2023-03-09 03:14:51.936,2023-03-09 03:14:51.936,24.0630996375311,1.8524326125889992
B07DS8ZSC6,"KUDES 2 Pack/Set Cat Collar Breakaway with Cute Bow Tie and Bell for Kitty and Some Puppies, Adjustable from 7.8-10.5 Inch (Red+Black, Plaid)",KUDES,Pet Supplies,Pet Supplies,Cats,"Collars, Harnesses & Leashes",9.99,False,4.7,3895,3895,2,5.0,0.0,0,1.0,27.0,2019-09-20 02:33:27.723,2020-01-04 06:24:38.484,38.8582166243834,3.8897113738121525
B08KH67ZHM,"Fussie Cat Premium Tuna & Prawns in Aspic Grain-Free Wet Cat Food 2.82oz, case of 24",Fussie Cat,Pet Supplies,Pet Supplies,Cats,Food,41.95,False,4.6,2100,2100,1,5.0,0.0,0,1.0,127.0,2019-08-31 23:02:31.932,2019-08-31 23:02:31.932,35.190776023887,0.8388742794728723
B0BB9NN8P3,"QQPETS Dog Harness Leash Set Adjustable Heavy Duty No Pull Halter Harnesses for Small Medium Large Breed Dogs Back Clip Anti-Twist Perfect for Walking (XS(12""-18"" Chest Girth), Yellow Flower)",QQPETS,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",13.99,False,4.3,3484,3484,1,2.0,0.0,0,1.0,141.0,2019-10-01 12:04:10.784,2019-10-01 12:04:10.784,35.07176028973688,2.5069163895451663
B088G1SVY4,"Arf Pets Freestanding Dog Gate, 2 Panel Extension, 360° configurable Wooden Fence, 40"" Wide, 31.5"" Tall, Foldable, for The House - Indoor Use",Arf Pets,Pet Supplies,Pet Supplies,Dogs,"Doors, Gates & Ramps",69.75,False,4.2,142,142,2,1.5,0.0,0,1.0,117.5,2018-09-21 13:39:20.935,2021-10-11 03:58:12.740,20.84394744709161,0.29883795623070414
B07D3BB1QZ,"Mighty Monkey Durable Easy Clean Cat Litter Box Mat, Great Scatter Control Mats, Keep Floors Clean, Soft on Sensitive Kitty Paws, Cats Accessories, Large Size, Slip Resistant, 35x23, Chocolate",MIGHTY MONKEY,Pet Supplies,Pet Supplies,Cats,Litter & Housebreaking,15.99,False,4.5,7102,7102,3,5.0,0.0,0,1.0,164.66666666666666,2018-03-20 20:33:35.558,2022-01-08 20:09:25.823,39.907226290490144,2.49576149408944
B07Q9L2K4P,"24"" New World Foldable Black Metal Dog Exercise Pen No Door",New World Pet Products,Pet Supplies,Pet Supplies,Dogs,"Crates, Houses & Pens",37.99,False,4.7,15731,15731,11,4.636363636363637,0.0,0,0.9090909090909091,254.0909090909091,2018-08-20 23:45:50.261,2023-03-17 00:25:14.812,45.418225027693,1.19553106153443
B00CLS8I6W,Rubies Costume Wizard of Oz Collection Pet Costume,Rubie's,Pet Supplies,Pet Supplies,Dogs,Apparel & Accessories,,True,3.7,14,14,1,5.0,0.0,0,1.0,17.0,2016-10-17 22:55:53.000,2016-10-17 22:55:53.000,10.019785744078177,
B075PQC67L,INABA Churu Chicken Recipe Lickable Purée Natural Cat Treats 12 Tubes,INABA,Pet Supplies,Pet Supplies,Cats,Treats,11.89,False,4.8,881,881,1,5.0,0.0,0,1.0,225.0,2022-05-28 20:46:15.875,2022-05-28 20:46:15.875,32.554521868832595,2.7379749258900414
B07D6ZRPWG,"Furhaven Pet Dog Bed - Deluxe Orthopedic Mat Ultra Plush Faux Fur Traditional Foam Mattress Pet Bed with Removable Cover for Dogs and Cats, Gray, Large",Furhaven,Pet Supplies,Pet Supplies,Dogs,Beds & Furniture,,True,4.3,425,425,1,5.0,0.0,0,1.0,41.0,2019-08-10 02:41:05.494,2019-08-10 02:41:05.494,26.034089188958294,
B01M0GMK2K,"Max and Neo NEO Nylon Buckle Reflective Dog Collar - We Donate a Collar to a Dog Rescue for Every Collar Sold (Small, Pink)",Max and Neo,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",11.99,False,4.7,6759,6759,1,5.0,0.0,0,1.0,12.0,2019-05-14 02:36:23.439,2019-05-14 02:36:23.439,41.44825739447395,3.456902201373974
B086DFYT3X,"Bonne et Filou Luxury Dog Treats, Dog Macaron,s Handmade Dog Gifts for Dog Birthdays, Healthy and Delicious Gourmet Dog Snack with All-Natural Ingredients Cheese, 6 Count (Pack of 1)",Bonne et Filou,Pet Supplies,Pet Supplies,Dogs,Treats,20.02,False,4.3,1039,1039,1,5.0,0.0,0,0.0,713.0,2020-09-06 04:06:51.575,2020-09-06 04:06:51.575,29.8719967661823,1.4921077305785364
B08J37GCG8,"Amazon Brand - Wag Dry Dog Food Beef & Sweet Potato, Grain Free 4 lb Bag",WAG,Pet Supplies,Pet Supplies,Dogs,Food,,True,4.4,5756,5756,6,4.333333333333333,1.5,9,0.5,357.3333333333333,2020-08-14 00:50:36.725,2023-03-08 00:23:25.523,38.09595585257357,
B09LNPYBQM,"Tetra Whisper IQ Power Filter, 175 GPH, with Stay Clean Technology, 30 Gallons",Tetra,Pet Supplies,Pet Supplies,Fish & Aquatic Pets,Aquarium Pumps & Filters,18.99,False,4.4,8111,8111,2,5.0,1.5,3,0.0,568.0,2018-09-20 03:07:00.714,2018-09-29 18:25:05.293,39.60483879365625,2.085562864331556
