animal_type,product_type,product_count,brand_count,avg_price,avg_rating,total_rating_number,competition_score,demand_per_brand,competition_rank
Cats,Apparel,13,10,12.17,4.269230769230769,20249,1.008480303557636,2024.9,34.0
Birds,Birdcages,10,10,116.12333333333335,4.35,21297,1.0033745039220108,2129.7,35.0
Reptiles & Amphibians,Terrarium Heat Lamps & Mats,9,9,27.61375,4.222222222222222,9317,0.9847146796884242,1035.2222222222222,36.0
Birds,Feeding & Watering Supplies,8,8,13.927142857142856,4.075,8191,0.8878123328547468,1023.875,37.0
Fish & Aquatic Pets,Aquariums & Fish Bowls,8,8,100.70428571428572,4.025,11631,0.8545625178490047,1453.875,38.0
Fish & Aquatic Pets,Aquarium Lights,10,8,67.40571428571428,4.220000000000001,14768,0.8333085364647663,1846.0,39.0
Small Animals,Toys,9,8,10.66625,4.4,26104,0.7866364511676025,3263.0,40.0
Fish & Aquatic Pets,Aquarium Heaters & Chillers,9,8,24.95375,4.344444444444445,32506,0.7700296209314857,4063.25,41.0
Reptiles & Amphibians,Terrariums,5,5,203.4625,4.3,1004,0.7233018976457863,200.8,42.0
Birds,Treats,7,7,31.986666666666665,4.571428571428571,31830,0.6751415620177932,4547.142857142857,43.0
Small Animals,Food,11,7,22.80125,4.527272727272727,37043,0.6654079888814064,5291.857142857143,44.0
Cats,"Cat Doors, Steps, Nets & Pens",11,7,71.37111111111112,4.427272727272728,40433,0.6599150261213208,5776.142857142857,45.0
Horses,Stable Supplies,4,4,27.11,4.425,480,0.6476823132780022,120.0,46.0
Small Animals,Feeding & Watering Supplies,8,6,17.63375,4.2375,10678,0.6468281264003214,1779.6666666666667,47.0
Fish & Aquatic Pets,Aquarium Water Treatments,18,7,17.01058823529412,4.538888888888889,88651,0.6144407333053746,12664.42857142857,48.0
Reptiles & Amphibians,"Terrarium Bedding, Sand & Substrate",5,5,14.382,4.44,6447,0.5700262882459144,1289.4,49.0
Horses,Grooming & Bathing Supplies,3,3,19.343333333333334,4.566666666666666,209,0.5610509949100394,69.66666666666667,50.0
Fish & Aquatic Pets,Aquarium Substrate,4,4,16.786666666666665,4.425,2838,0.5030682664007381,709.5,51.0
Cats,Flea & Tick Control,8,6,40.098571428571425,4.2375,175577,0.49685990059639396,29262.833333333332,52.0
Horses,Boots & Wraps,2,2,71.97,4.0,79,0.4564098228373374,39.5,53.0
Small Animals,Exercise Wheels,4,4,32.99,4.4,8580,0.4416324364746145,2145.0,54.0
Birds,Health Supplies,4,4,42.949999999999996,4.5249999999999995,9063,0.43897839267263805,2265.75,55.0
Reptiles & Amphibians,Habitat Décor,4,4,23.095000000000002,4.4,13578,0.42033232529791387,3394.5,56.0
Small Animals,"Collars, Harnesses & Leashes",4,4,17.990000000000002,3.825,16086,0.41297711316105074,4021.5,57.0
Cats,Repellents & Training Aids,4,4,14.83,3.75,18364,0.40740657169283023,4591.0,58.0
Fish & Aquatic Pets,Aquarium Cleaners,5,4,6.758,4.54,30680,0.3871692554201993,7670.0,59.0
Fish & Aquatic Pets,Aquarium Thermometers,3,3,13.943333333333333,4.233333333333333,3440,0.3683911816611652,1146.6666666666667,60.0
Fish & Aquatic Pets,Aquarium Stands,2,2,237.825,4.300000000000001,343,0.3424281298742478,171.5,61.0
Reptiles & Amphibians,Food,4,3,10.69,4.375,8790,0.33034249497491663,2930.0,62.0
Dogs,Memorials & Funerary,2,2,13.469999999999999,4.65,493,0.3224487783194107,246.5,63.0
Small Animals,Treats,5,3,11.982,4.66,17484,0.3070907672893978,5828.0,64.0
Small Animals,Carriers,2,2,17.735,3.6,933,0.2924200438532283,466.5,65.0
Horses,Farrier Supplies,1,1,45.99,4.0,76,0.2302128900546512,76.0,66.0
Fish & Aquatic Pets,Automatic Feeders,2,2,15.225,4.25,6507,0.2277700043659458,3253.5,67.0
Reptiles & Amphibians,Habitat Lighting,4,2,11.99,4.4,10631,0.21571194929820142,5315.5,68.0
Fish & Aquatic Pets,Aquarium Test Kits,2,2,29.62,4.7,43941,0.1870797861516714,21970.5,69.0
Horses,Horse Blankets & Sheets,1,1,,4.4,254,0.18046425546276915,254.0,70.0
Reptiles & Amphibians,Health Supplies,1,1,9.47,4.5,448,0.16374590670147243,448.0,71.0
Horses,Treats,1,1,39.95,4.3,1435,0.1375588334906238,1435.0,72.0
Fish & Aquatic Pets,Medication & Health Supplies,1,1,15.5,4.6,2484,0.12790949429478934,2484.0,73.0
Reptiles & Amphibians,Terrarium Covers,1,1,29.99,4.7,13828,0.10488201537610575,13828.0,74.0
