brand,animal_type,product_count,avg_price,avg_rating,total_rating_number,total_review_count,demand_proxy
ATESON,Dogs,1,22.99,4.2,2049,1,2049
AUDWUD,Dogs,3,15.656666666666666,4.3999999999999995,26573,6,26573
AUPCON,Horses,1,10.99,4.6,4190,1,4190
AUROTH,Dogs,2,18.04,4.6,62308,7,62308
AUTOWT,Dogs,2,15.99,4.55,2516,2,2516
AVANTEK,Dogs,1,,5.0,3,1,3
AVERYDAY,Dogs,1,54.99,4.6,3590,1,3590
Abenstoc,Dogs,1,13.98,4.6,199,1,199
Accesyes,Cats,1,8.99,4.0,217,1,217
Active Pets,Dogs,2,29.52,4.449999999999999,57941,6,57941
ActiveDogs.com,Dogs,2,38.225,4.35,1068,2,1068
Adams,Dogs,2,12.435,4.25,11149,3,11149
Addiction,Dogs,1,,4.1,321,1,321
Addiction Pet Foods,Dogs,1,,4.0,41,1,41
Adhere To Fly,Birds,1,21.99,4.5,252,1,252
Aduck,Dogs,1,8.99,3.9,932,1,932
Advantage,Cats,1,47.98,4.5,65900,16,65900
Advantage,Dogs,1,63.98,4.5,4232,2,4232
Aecllcea,Dogs,1,13.99,4.5,454,1,454
Aesfee,Dogs,1,,4.2,24,1,24
Aetertek,Dogs,1,,3.5,53,1,53
After Surgery Wear,Dogs,1,24.99,3.4,1949,1,1949
Agkey,Dogs,1,,3.8,168,1,168
Aiitle,Dogs,1,11.99,4.2,3077,1,3077
AikoPets,Dogs,1,,4.2,28,1,28
Aivituvin,Cats,1,194.99,4.5,1394,1,1394
Aivituvin,Dogs,1,49.99,4.1,4268,1,4268
AkoSlale,Dogs,1,11.98,4.4,60,1,60
Akongy,Dogs,1,18.8,4.4,395,1,395
Akopawon,Dogs,1,9.99,3.5,279,1,279
Alemon,Dogs,1,12.99,4.2,1398,1,1398
Alfheim,Cats,1,,4.2,533,1,533
Alfie,Dogs,3,21.99,4.333333333333333,12796,5,12796
Alitaver,Dogs,1,,4.8,502,1,502
All 4s,Dogs,1,6.99,3.5,29,1,29
All Four Paws,Dogs,1,44.54,4.3,18014,11,18014
Allisandro,Cats,1,28.0,4.8,450,6,450
Allisandro,Dogs,1,32.99,4.5,956,1,956
Allstar Innovations,Dogs,1,,2.8,1146,3,1146
Alpha Paw,Dogs,1,,4.3,238,1,238
AlphaPooch,Cats,1,,3.7,140,1,140
Alroman,Cats,1,8.76,4.2,1834,1,1834
Amakunft,Dogs,1,15.99,4.3,5026,2,5026
Amakunft,Small Animals,1,14.19,4.3,6793,2,6793
Amazing,Cats,1,16.36,3.7,350,1,350
Amazing Dog Treats,Dogs,4,20.656666666666666,4.125,2507,5,2507
Amazon Basics,Dogs,19,39.03529411764706,4.463157894736842,747919,193,747919
Amazon Basics,Cats,8,35.405,4.4875,47642,39,47642
American Apparel,Dogs,1,,4.1,160,2,160
American Cat Club,Cats,1,16.24,4.2,3050,1,3050
American Kennel Club,Cats,2,34.99,4.05,2105,2,2105
American Kennel Club,Dogs,2,34.99,4.0,10891,4,10891
American Pet Supplies,Dogs,1,,3.8,5,1,5
Ameritex,Dogs,2,35.99,4.4,21456,6,21456
Amzey,Cats,1,16.95,4.0,558,5,558
AnNengJing,Dogs,1,14.99,4.4,902,1,902
Ancaixin,Cats,1,,4.5,749,1,749
Andiker,Dogs,1,,4.0,36,1,36
Andis,Dogs,2,37.575,4.6,37952,10,37952
Andis,Cats,1,31.25,4.7,2177,1,2177
Angel Pet Supplies,Dogs,2,,4.6,226,2,226
Angel Pet Supplies Inc.,Dogs,1,,4.5,164,1,164
Angel's Eyes,Dogs,1,23.99,4.1,5519,1,5519
Anit Accessories,Cats,1,3.99,3.2,5,2,5
Annamaet,Dogs,2,68.835,4.45,176,2,176
Anosiar,Cats,1,,3.1,23,1,23
Anovo,Cats,1,13.99,4.7,783,1,783
AoLove,Dogs,3,9.723333333333334,4.433333333333334,11735,7,11735
Aoyar,Fish & Aquatic Pets,1,25.95,4.3,1698,1,1698
Apasiri,Dogs,1,11.85,4.3,6817,3,6817
Aqua Clear,Fish & Aquatic Pets,1,1.99,4.5,66,1,66
AquaClear,Fish & Aquatic Pets,2,55.985,4.5,21133,6,21133
AquaLeaf Aquatics,Fish & Aquatic Pets,1,,4.1,173,1,173
Aquapaw,Dogs,1,,4.4,5352,1,5352
Aquatic Experts,Fish & Aquatic Pets,1,19.99,4.7,4992,1,4992
Aquatic Life,Fish & Aquatic Pets,1,81.99,4.6,5365,1,5365
Aqueon,Fish & Aquatic Pets,7,10.55,4.414285714285714,32579,13,32579
Arf Pets,Dogs,3,69.75,4.1000000000000005,1233,4,1233
Arf Pets,Cats,1,109.99,4.5,863,1,863
Aria,Dogs,1,22.88,4.6,67,1,67
Aring pet,Dogs,5,16.552,4.6,8979,5,8979
Arkham Pet,Dogs,1,12.98,4.3,203,1,203
Arm & Hammer,Dogs,4,13.2025,4.325,49182,28,49182
Arm & Hammer,Cats,3,12.979999999999999,4.433333333333334,27700,12,27700
Armarkat,Cats,3,109.555,4.366666666666666,9642,13,9642
Armarkat,Dogs,1,86.25,4.4,3486,6,3486
Arthur Andrew Medical,Horses,1,39.99,5.0,8,1,8
Asvin,Cats,1,19.99,4.6,4190,1,4190
Auburn Leathercrafters,Dogs,1,62.0,4.6,190,1,190
Aufeeky,Fish & Aquatic Pets,1,,2.9,4,1,4
Auuil,Dogs,1,16.99,4.2,74,1,74
Avenpets,Dogs,1,4.9,4.5,388,1,388
AvoDerm,Dogs,4,34.49,3.875,903,12,903
Awesome Aquatic,Fish & Aquatic Pets,1,14.99,4.5,1065,1,1065
Azwraith,Dogs,1,16.99,4.4,1870,2,1870
BAAPET,Dogs,5,10.89,4.66,89037,27,89037
BABYLTRL,Dogs,1,24.28,4.4,34959,6,34959
BALLMIE,Cats,1,12.99,4.4,52,1,52
BAPSOUZU,Dogs,1,11.99,4.1,205,2,205
BARK&SPARK,Dogs,1,36.91,4.3,5964,2,5964
BARKBAY,Dogs,2,26.99,4.5,26439,6,26439
BARKLESS,Dogs,1,17.99,3.7,6286,1,6286
BARMI,Dogs,1,13.99,4.4,1020,1,1020
BAROMGA,Cats,1,28.99,4.5,445,1,445
BAWAN,Cats,1,10.79,4.3,955,1,955
BEAU JARDIN,Cats,1,,4.2,106,2,106
BEAUMONT BASICS,Dogs,1,,4.1,5338,3,5338
BEAUTYZOO,Dogs,1,5.99,4.3,104,1,104
BEDSURE,Dogs,7,49.14,4.542857142857143,126641,24,126641
BEDSURE,Cats,2,24.49,4.55,12271,4,12271
BEFAiR,Dogs,1,13.99,4.6,37,1,37
BELPRO,Dogs,1,36.99,4.4,2729,1,2729
BENCMATE,Dogs,2,27.98,4.15,45222,10,45222
BENTOPAL,Cats,2,11.99,4.2,1287,3,1287
BESAZW,Small Animals,1,19.12,4.1,61,1,61
BEWISHOME,Cats,2,76.4,4.65,6820,2,6820
BEXLEY LABS,Dogs,1,13.99,4.4,564,2,564
BFPETHOME,Dogs,1,37.99,4.4,1387,1,1387
BIGWING Style,Dogs,1,,4.3,5144,1,5144
BINGPET,Dogs,6,13.98,4.25,20798,11,20798
BINGPET,Cats,1,11.99,3.7,399,1,399
BIRD KABOB,Birds,1,17.98,4.5,379,2,379
BIXBI,Dogs,5,43.739999999999995,4.4799999999999995,5502,12,5502
BIXBI,Cats,1,17.8,4.5,1091,3,1091
BOBIBI,Dogs,1,3.9,4.2,2297,5,2297
BODISEINT,Dogs,1,17.99,4.6,12925,3,12925
BONAWEN,Dogs,3,13.823333333333332,4.3999999999999995,5044,4,5044
BOOMIBOO,Dogs,2,5.49,4.55,5916,5,5916
BOTARO,Cats,1,,4.8,207,1,207
BOTARO,Dogs,1,,4.4,196,1,196
BRINGERPET,Dogs,1,44.5,4.1,22,1,22
BRUTUS & BARNABY,Dogs,3,30.319999999999997,4.133333333333333,9806,10,9806
BSEEN,Dogs,2,11.865,4.550000000000001,23951,12,23951
BTDCFY,Dogs,2,12.940000000000001,4.4,6572,2,6572
BTINESFUL,Dogs,2,18.99,4.6,2891,3,2891
BUCATSTATE,Dogs,1,11.98,4.2,413,2,413
BUILT,Dogs,1,22.99,4.5,39,2,39
BULLYMAKE,Dogs,1,20.33,4.3,5859,1,5859
BUUOC,Dogs,1,35.99,4.5,2208,1,2208
BV,Dogs,1,8.99,4.6,30924,22,30924
BWOGUE,Dogs,1,13.99,4.3,760,3,760
BWOGUE,Small Animals,1,13.99,4.5,2056,3,2056
BXI,Fish & Aquatic Pets,1,12.99,4.5,1022,2,1022
BZONZOON,Dogs,1,9.89,4.2,8171,2,8171
BZTSGJ,Dogs,1,16.99,4.6,460,1,460
Bags on Board,Dogs,1,16.41,4.8,4376,3,4376
Baja Ponchos,Dogs,1,16.99,4.6,4791,5,4791
Bangp,Dogs,1,11.97,4.4,1088,1,1088
Bark Appeal,Dogs,1,21.99,4.5,1518,1,1518
Bark Lover,Dogs,2,11.49,4.25,2164,4,2164
Barkbox,Dogs,4,19.323333333333334,4.475,42961,14,42961
BarksBar,Dogs,1,43.95,4.4,9421,6,9421
Barkworthies,Dogs,2,14.235,3.85,683,2,683
Barleygoo,Cats,1,9.99,4.4,786,1,786
Barleygoo,Dogs,1,8.99,4.2,972,1,972
Bayer Animal Health,Dogs,2,,4.5,2098,3,2098
Beacozofu,Cats,1,11.99,4.4,1544,1,1544
BeamsWork,Fish & Aquatic Pets,1,149.95,4.5,1496,1,1496
Because Animals,Dogs,1,,4.4,632,1,632
Beebiepet,Dogs,1,12.99,4.6,7545,1,7545
Beefeaters,Dogs,1,,5.0,1,1,1
Beewarm,Cats,1,9.9,4.0,4166,3,4166
Beirui,Dogs,3,14.323333333333332,4.366666666666667,4669,4,4669
Bella,Dogs,1,21.85,4.5,5610,13,5610
Beloved Pets,Dogs,1,19.8,4.3,325,1,325
Benebone,Dogs,2,16.235,4.55,101584,40,101584
Beneful,Dogs,7,35.13333333333333,4.585714285714286,16878,26,16878
Beneful,Cats,1,,4.5,151,6,151
Bergan,Cats,1,,4.4,2619,1,2619
Bernie's,Dogs,1,46.99,4.4,14106,4,14106
Berytta,Dogs,1,20.99,4.5,1582,2,1582
Bessie + Barnie,Cats,1,109.0,4.2,105,1,105
Best Breed,Dogs,4,16.49,4.45,484,4,484
Best Bully Sticks,Dogs,5,36.089999999999996,4.2,15125,20,15125
Best Buy Bones,Dogs,1,11.88,4.7,20,1,20
Best Choice Products,Dogs,2,149.99,4.4,2269,2,2269
Best Choice Products,Cats,1,,4.3,594,1,594
Best Friends by Sheri,Cats,4,71.99,4.4,87859,31,87859
Best Friends by Sheri,Dogs,4,22.05,4.35,1351,5,1351
Best Music Posters,Dogs,1,49.16,4.0,21,1,21
Best Paw Nutrition,Dogs,1,24.97,4.5,5233,5,5233
Best Pet Supplies,Dogs,16,25.986153846153847,4.45625,264296,89,264296
Best Pet Supplies,Cats,5,48.28,4.64,47117,14,47117
Best Shot Pet,Dogs,1,10.5,4.7,211,1,211
BestPet,Dogs,4,45.99,4.1,11469,5,11469
BestPet,Cats,1,,4.3,1902,1,1902
Better Belly,Dogs,1,8.88,4.6,3090,6,3090
Beyond,Cats,4,16.68,4.45,12786,19,12786
Beyond,Dogs,1,26.88,4.5,3609,20,3609
Big Barker,Dogs,1,239.95,4.7,8813,4,8813
Big Dog Antler Chews,Dogs,1,34.97,4.6,570,1,570
Biggun,Small Animals,1,39.99,4.2,385,1,385
Bil-Jac,Dogs,3,27.706666666666667,4.8,9550,12,9550
BinetGo,Dogs,1,26.99,4.4,9959,2,9959
Bio-groom,Cats,1,173.92,4.7,388,1,388
BioBag,Dogs,1,28.4,4.5,550,1,550
BioSilk,Dogs,1,19.71,4.7,5072,1,5072
Birds LOVE,Birds,6,72.67333333333333,4.266666666666667,13377,12,13377
Black Rhino,Dogs,2,35.99,4.75,5489,2,5489
BlackHole Litter Mat,Cats,1,36.7,4.5,3939,3,3939
Blackwood Pet Food,Dogs,2,22.69,4.5,584,3,584
Blanou,Dogs,1,8.99,4.3,198,1,198
Blaoicni,Dogs,1,7.99,4.5,222,1,222
Blazin,Dogs,2,21.99,4.6,19275,8,19275
Blue Buffalo,Dogs,23,34.51529411764706,4.608695652173913,157208,114,157208
Blue Buffalo,Cats,15,31.8225,4.5,75023,58,75023
Blue Dog Bakery,Dogs,2,39.11,4.55,5111,9,5111
Blue Microphones,Dogs,1,25.99,4.6,797,1,797
Blue Spotted,Fish & Aquatic Pets,1,6.99,4.1,441,1,441
Blueberry Pet,Dogs,24,19.87181818181818,4.516666666666667,117857,53,117857
Bocce's Bakery,Dogs,3,6.5,4.633333333333334,8926,4,8926
Bodhi Dog,Dogs,8,14.9775,4.2125,85701,25,85701
Bodhi Dog,Cats,1,13.99,3.4,10124,3,10124
Boence,Dogs,2,,4.15,3912,2,3912
BohoFarm,Dogs,1,,4.0,18,1,18
Bojafa,Cats,1,9.99,4.3,1667,1,1667
Bokelai,Dogs,1,15.99,4.4,340,1,340
Bolbove,Cats,1,12.99,4.5,1415,1,1415
Bolux,Dogs,5,16.09,4.26,49020,20,49020
Bonaweite,Dogs,1,43.95,4.2,87,1,87
Bond,Dogs,1,17.99,4.6,1775,2,1775
Bone Dry,Dogs,11,14.016666666666666,4.2,20327,53,20327
Bone Dry,Cats,3,26.83,4.3999999999999995,5574,11,5574
Bonka Bird Toys,Birds,1,10.99,4.6,612,1,612
Bonne et Filou,Dogs,1,20.02,4.3,1039,1,1039
Bonve Pet,Dogs,1,,4.2,730,1,730
Booster Bath,Dogs,1,174.99,4.5,3290,1,3290
Boss Pet Products,Dogs,1,13.95,4.6,1974,1,1974
Bougainvillea,Dogs,1,16.99,3.9,1470,2,1470
Bowhaus,Cats,1,50.9,4.5,214,1,214
Bowite,Dogs,2,23.74,3.9,333,2,333
BoxDog,Dogs,1,21.99,3.6,63,1,63
BoxiePro,Cats,1,21.99,3.9,1353,6,1353
Boxiecat,Cats,2,33.49,4.15,9483,6,9483
Brave Bark,Dogs,1,38.99,4.3,1553,1,1553
Breeze Touch,Dogs,1,9.99,4.3,1975,2,1975
Brellavi,Dogs,1,21.99,3.8,7572,4,7572
Brindle,Dogs,3,34.99666666666667,4.5,15332,11,15332
Bubba Rose Biscuit Company,Dogs,1,18.99,3.7,2220,1,2220
Bubblepup,Dogs,1,15.89,4.4,695,2,695
Buckle-Down,Dogs,1,30.39,4.2,4,1,4
Buddy Biscuits,Dogs,1,,4.7,396,8,396
Buffalo Range,Dogs,1,9.99,4.6,2073,2,2073
Bullibone,Dogs,1,16.99,4.3,9069,2,9069
Bully Max,Dogs,1,55.99,4.5,89,1,89
BurgeonNest,Cats,1,29.99,4.5,1853,1,1853
Burt's Bees,Dogs,4,12.8825,4.2,15356,8,15356
Burt's Bees,Cats,1,,4.2,118,1,118
Busy,Dogs,2,23.159999999999997,4.65,27149,1517,27149
Butler,Dogs,1,65.89,4.7,7290,3,7290
Bwealthest,Dogs,1,10.99,4.4,5079,3,5079
C COMFORTLAND,Dogs,1,,4.3,2,1,2
CAISANG,Dogs,1,17.99,4.3,256,1,256
CALIDAKA,Dogs,1,,3.7,23,1,23
CALM-N-COMFY,Dogs,1,65.99,4.4,130,1,130
CANIDAE,Dogs,3,39.235,4.366666666666667,8982,10,8982
CANIDAE,Cats,2,26.45,4.1,1422,4,1422
CATHYLIFE,Dogs,1,9.99,4.5,1354,1,1354
CBROSEY,Dogs,2,12.2,4.2,789,2,789
CCAATVG,Dogs,1,16.99,4.5,292,1,292
CEESC,Dogs,1,,3.1,58,1,58
CEVA Animal Health,Dogs,1,,4.3,1832,3,1832
CEVICOLZE,Dogs,1,36.99,4.2,2655,2,2655
CHAMPETS,Dogs,1,19.79,4.2,2590,2,2590
CHBORCHICEN,Dogs,2,10.49,4.4,7377,2,7377
CHBORLESS,Dogs,1,10.99,4.3,12980,5,12980
CHEE RAY,Dogs,1,28.0,4.6,1074,1,1074
CHEERHUNTING,Cats,1,30.89,4.3,4053,2,4053
CHENEDY,Dogs,1,7.98,4.6,516,1,516
CHOMP,Cats,1,,4.4,132,1,132
CHONGFA,Dogs,1,39.99,4.2,4754,1,4754
CHUKCHI,Cats,1,6.99,4.6,1219,1,1219
CLOUDZONE,Dogs,2,45.67,4.0,9094,5,9094
CNZ,Fish & Aquatic Pets,2,13.485,4.45,4673,3,4673
COLIBROX,Fish & Aquatic Pets,1,107.48,4.2,1984,1,1984
CONAIRPRO dog & cat,Dogs,2,24.490000000000002,4.5,2020,2,2020
COODIA,Dogs,1,15.99,4.2,3171,1,3171
COOYOO,Dogs,1,15.55,4.6,13587,4,13587
COZIWOW,Cats,1,89.99,4.3,1403,1,1403
COZIWOW,Dogs,1,23.99,3.3,1165,1,1165
CRAVE,Dogs,2,63.485,4.6,5392,4,5392
CRAZY LIBERTY,Dogs,1,14.89,4.3,3380,2,3380
CREDIT 5 STAR,Dogs,1,9.99,4.0,1513,2,1513
CROWATTS,Dogs,1,10.99,4.7,653,3,653
CSD,Dogs,1,,4.5,22,1,22
CURE FOR THE CRAVE CANINE CRAVERS DOG TREATS,Dogs,1,15.99,4.3,582,1,582
CUTEMATE,Dogs,1,12.99,4.5,1699,1,1699
Cadet,Dogs,6,17.901666666666667,4.45,15003,30,15003
"Caldera International, Inc.",Dogs,1,53.41,2.8,32,3,32
Caldwell's Pet Supply Co.,Dogs,1,11.99,4.6,12592,7,12592
Calm Paws Behavior Support,Cats,1,12.99,3.6,175,1,175
Canine Carry Outs,Dogs,1,5.48,4.6,111,4,111
Canine Caviar,Dogs,1,44.99,4.5,1365,5,1365
Canine Equipment,Dogs,1,,4.6,77,2,77
Canine Friendly,Dogs,2,15.99,4.05,3175,3,3175
Canine Naturals,Dogs,1,22.99,4.4,6726,15,6726
CanineStar,Dogs,1,,3.0,41,2,41
Caninus Collars,Dogs,1,19.99,4.7,255,1,255
Carefree Fish,Fish & Aquatic Pets,1,9.99,4.4,513,1,513
Carefresh,Small Animals,1,8.99,4.6,39063,12,39063
Carolina Pet,Cats,1,14.99,4.2,491,1,491
Casfuy,Dogs,2,31.240000000000002,4.6,84833,22,84833
Cashel,Horses,1,34.99,4.8,1875,1,1875
Casper,Dogs,1,,4.4,2069,1,2069
Castor & Pollux,Dogs,4,25.98,4.25,4663,6,4663
Castor & Pollux,Cats,1,,4.5,655,1,655
Casual Canine,Dogs,4,12.770000000000001,4.25,2537,5,2537
Casual Home,Dogs,1,130.99,4.2,6121,2,6121
Cat Amazing,Cats,1,15.94,4.0,6621,2,6621
Cat Dancer Products,Cats,1,12.99,4.6,7252,10,7252
Cat Magic,Cats,1,39.99,3.4,35,1,35
Cat Mate,Cats,1,27.99,4.4,6464,7,6464
Cat Scratch Guard,Cats,1,,4.1,920,1,920
Cat's Pride,Cats,2,10.57,4.45,25811,43,25811
Cat-Man-Doo,Cats,1,38.99,4.7,2240,3,2240
CatGuru,Cats,2,35.49,4.65,5684,4,5684
CatYou,Dogs,1,,3.9,40,1,40
Catit,Cats,2,17.465,4.15,4512,3,4512
Catry,Cats,3,47.485,4.133333333333334,1753,5,1753
Cats Incredible,Cats,1,,4.4,996,1,996
Catstages,Cats,3,7.756666666666667,4.433333333333334,96810,62,96810
Cdipesp,Dogs,1,14.99,4.3,93,1,93
Cesar,Dogs,4,16.96,4.6,37898,37,37898
Cesar Millan,Dogs,3,37.49,3.9,3507,3,3507
Chai's Choice,Dogs,4,20.21,4.525,13536,12,13536
Charlee Bear,Dogs,1,4.31,4.7,9066,22,9066
Charming Pet,Dogs,2,11.49,4.4,5729,6,5729
Checkups,Dogs,1,39.48,4.8,1013,1,1013
Chesapeake Bay,Cats,1,,4.7,169,2,169
Chew + Heal Labs,Dogs,2,19.98,4.4,2485,3,2485
Chewsday,Dogs,1,34.49,4.2,228,2,228
Chi-buy,Cats,1,9.98,4.7,3736,4,3736
Chicken Soup for the Soul,Dogs,1,41.88,4.3,38,2,38
Chilly Dog,Dogs,1,37.04,4.6,515,2,515
Choco Nose,Dogs,1,11.99,4.4,6712,2,6712
Chol&Vivi,Dogs,1,11.59,4.2,5868,1,5868
Chuckit!,Dogs,17,11.526875,4.476470588235294,316634,118,316634
Cirfifth,Cats,1,9.99,4.6,3347,1,3347
Citrus Magic,Dogs,1,13.15,4.1,5165,5,5165
CiyvoLyeen,Cats,1,,4.7,22,1,22
Clean Litter Club,Cats,1,20.16,3.3,34,1,34
Clever sprouts,Dogs,1,,2.8,207,2,207
Climate Right,Dogs,1,87.77,4.2,547,1,547
Cloud Star,Dogs,10,17.58142857142857,4.5,26137,19,26137
Cnikpet,Dogs,1,,3.4,35,1,35
CoCogo,Birds,1,13.99,4.5,1728,2,1728
Coastal,Dogs,15,20.83,4.46,18973,23,18973
Coastal,Cats,1,10.49,4.2,369,1,369
Coastal Pet,Dogs,1,,3.5,19,1,19
CollarDirect,Dogs,5,11.99,4.279999999999999,20300,7,20300
CollarDirect,Cats,1,8.99,4.3,15160,13,15160
Colorday,Birds,2,37.47,4.3,3360,2,3360
ComSaf,Cats,1,11.99,4.3,857,1,857
Comfort Zone,Cats,4,34.973333333333336,4.1,16553,9,16553
ComfortFlex,Dogs,2,31.875,4.65,1627,5,1627
Comsmart,Dogs,1,25.99,4.4,11136,3,11136
Comtim,Cats,1,4.99,4.8,29377,9,29377
Conair,Dogs,1,,4.7,1324,2,1324
Conlun,Cats,3,13.156666666666666,4.366666666666666,1756,3,1756
CooZero,Dogs,1,11.99,3.9,7244,1,7244
Coodeo,Dogs,1,32.98,4.0,4817,2,4817
Coohom,Dogs,1,25.91,4.4,3891,1,3891
Coolaroo,Cats,1,28.0,4.6,67500,21,67500
Coolaroo,Dogs,1,9.02,4.7,13419,8,13419
Coomazy,Dogs,1,8.99,4.6,4630,1,4630
Coomour,Dogs,1,12.99,4.4,1131,1,1131
Coopupet,Dogs,1,45.99,4.2,1494,1,1494
Copatchy,Dogs,1,12.95,4.4,13820,4,13820
Coralife,Fish & Aquatic Pets,1,175.66,4.4,210,1,210
Cosequin,Cats,1,12.49,4.4,8612,2,8612
CosiBell,Dogs,1,28.99,4.3,755,1,755
Cosmic Pet,Cats,2,9.21,4.300000000000001,289,2,289
Cosyearn,Cats,1,20.39,4.6,12826,6,12826
Cottagecore,Cats,1,17.99,4.8,864,2,864
CoubonTail,Dogs,1,9.99,4.2,648,1,648
Country Brook Design,Dogs,6,14.136666666666668,4.666666666666667,35760,15,35760
CovertSafe&,Dogs,1,23.99,4.3,5518,1,5518
Cozy Pet,Dogs,1,,4.5,5460,1,5460
CozyCatFurniture,Cats,1,,4.3,97,1,97
Craveit,Dogs,1,23.99,4.2,757,1,757
Crazy Dog,Dogs,2,25.895,4.75,12338,5,12338
Crazy Furball,Dogs,1,34.99,4.3,351,3,351
Creation Core,Dogs,2,15.785,4.25,1321,2,1321
Croci,Reptiles & Amphibians,1,10.99,4.7,2464,2,2464
Crumps' Naturals,Dogs,1,11.35,4.5,6798,1,6798
CtopoGo,Dogs,1,8.9,4.6,106,1,106
Cuby,Dogs,1,18.99,4.1,659,1,659
Cullaby,Dogs,1,,3.7,8038,3,8038
Current USA,Fish & Aquatic Pets,1,99.99,4.3,2542,1,2542
Custom Catch,Dogs,1,22.95,4.7,3132,5,3132
CuteBone,Dogs,5,13.988,4.42,39522,13,39522
Cymiler,Dogs,1,22.99,4.3,8418,3,8418
D KING D KING,Dogs,1,16.99,4.5,448,1,448
D&W Innovations,Dogs,1,14.99,3.9,3536,1,3536
DAGANXI,Dogs,1,16.99,4.5,6868,2,6868
DEBANG HOME,Dogs,1,49.99,4.6,1302,1,1302
DELIFUR,Dogs,1,19.99,4.5,2660,2,2660
DELOMO,Dogs,2,24.99,4.25,8354,10,8354
DELOMO,Cats,1,15.99,4.2,69028,13,69028
DENTRUN,Dogs,1,22.99,4.3,1566,1,1566
DEXDOG,Dogs,1,,4.4,51,1,51
DEYACE,Dogs,1,16.99,4.7,4422,3,4422
DEZIZEUSK9,Dogs,1,21.23,4.5,1487,1,1487
DFESKAH,Dogs,1,,4.5,618,2,618
DIAMOND NATURALS,Dogs,2,34.99,4.65,17077,6,17077
