parent_asin,product_title,brand,category_l2,category_l3,price,average_rating,rating_number,review_count,reviews_per_month,rating_number_per_month,value_score,success_probability,success_score,success_tier,success_rank
B0C3PBJPJG,"Pet Qwerks Zombie BarkBone - Nylon Dog Bone for Moderate Chewers - Bacon Flavor - 4""",Pet Qwerks,Dogs,Toys,5.55,4.3,11819,9,0.33656019656019653,441.97832923832925,7.2654878650681765,0.6461500796938102,64.61500796938103,Very High,35.0
B087QM531F,"Multipet International Look Who's Talking Cat Toy, Fish, 1-1/4-Inch, Multi-Colored, 3"", Small",Multipet,Dogs,Toys,7.99,4.4,19173,25,0.2461190168175938,188.75359637774903,5.430508896621095,0.6461189104183205,64.61189104183205,Very High,36.0
B0B4THXL8Q,"Purina ONE Natural, High Protein, Grain Free Dry Cat Food, True Instinct With Real Chicken - 3.2 lb. Bag",Purina ONE,Cats,Food,11.48,4.7,8065,6,0.10712023460410558,143.98744868035192,3.682791026527576,0.6459735385934412,64.59735385934412,Very High,37.0
B0BFQ1CJJ4,"Voyager Step-in Air All Weather Mesh Harness and Reflective Dog 5 ft Leash Combo with Neoprene Handle, for Small, Medium and Large Breed Puppies by Best Pet Supplies - Blue, Small",Best Pet Supplies,Dogs,"Collars, Harnesses & Leashes",17.99,4.5,16595,9,0.16287752675386444,300.3280618311534,2.430579567345048,0.6448896346758023,64.48896346758023,Very High,38.0
B06XW4WBCD,"Paw Legend Washable Dog Belly Band Wrap Diapers for Male Dog | High Absorbing Puppy & Doggy Diapers Male (3 Pack,Multi-Colored,XS)",Paw Legend,Dogs,Litter & Housebreaking,11.99,4.6,15142,7,0.11455913978494624,247.80778494623655,3.6927732132277407,0.6446576809827841,64.4657680982784,Very High,39.0
B0863D7LMS,"PEDIGREE CHOPPED GROUND DINNER Adult Soft Wet Dog Food Variety Pack, 3.5 Ounce - 8 Count (Pack of 2)",Pedigree,Dogs,Food,6.78,4.7,18040,16,0.27469825155104344,309.72227862380146,6.7937891526442735,0.644628220334075,64.46282203340749,Very High,40.0
B0C6C2ZWHF,Good'N'Fun Triple Flavored Rawhide Kabobs For Dogs,Good'n'Fun,Dogs,Treats,4.18,4.7,52100,46,0.46212541254125417,523.4072607260726,12.212061071926211,0.6444795423442436,64.44795423442436,Very High,41.0
B0BVB6GXMN,"Good 'N' Fun Triple Flavor Wings, Made with Real Meat, Treats for All Dog Sizes",Good'n'Fun,Dogs,Treats,4.17,4.7,15906,17,0.29998840579710145,280.6832695652174,10.904129101108465,0.6444795423442436,64.44795423442436,Very High,41.0
B0C3QFK92C,Nylabone Healthy Edibles Puppy Natural Long Lasting Dog Chew Treats Lamb & Apple Small/Regular (4 Count),Nylabone,Dogs,Treats,6.39,4.4,14891,14,0.1434882154882155,152.62021548821548,6.6162362306678375,0.6444041639586476,64.44041639586476,Very High,42.0
B09H24L1Z4,"Furhaven Large Pillow Dog Bed Comfy Couch Plush & Decor Sofa-Style w/ Removable Washable Cover - Diamond Blue, Large",Furhaven,Dogs,Beds & Furniture,39.99,4.5,76036,21,0.3164554455445545,1145.8098217821785,1.264700901302089,0.644149908967306,64.4149908967306,Very High,43.0
B09XH5XMFS,"Pet Magasin Reusable Dog Diapers, Extra Small, Pack of 3",Pet Magasin,Dogs,Litter & Housebreaking,15.49,4.4,40362,12,0.16155683325961964,543.3964086687306,3.01258506985114,0.6440106456216647,64.40106456216647,Very High,44.0
B0915FXD4V,"Hartz UltraGuard Flea & Tick Collar for Cats and Kittens, 7 Month Flea and Tick Protection and Prevention, White",Hartz,Cats,Flea & Tick Control,3.62,4.1,12199,5,0.07679112008072654,187.35497477295664,10.656818797225835,0.643980261949039,64.3980261949039,Very High,45.0
B0BD5M6NHX,"Purina Pro Plan Urinary Tract Cat Food Wet Pate, Urinary Tract Health Turkey and Giblets Entree - (24) 3 oz. Pull-Top Cans",Purina Pro Plan,Cats,Food,39.84,4.6,10181,10,0.11587362009897223,117.97093262276363,1.0655254261678337,0.6439077082003724,64.39077082003723,Very High,46.0
B0B5Q78M7M,"Arm & Hammer for Pets Tartar Control Dental Training Kit for Puppies | Dog Toothbrush, Toothpaste, & Fingerbrush, Total Kit for Ideal Puppy Dental Health | Yummy Vanilla Ginger Flavor",Arm & Hammer,Dogs,Health Supplies,6.99,4.4,37461,7,0.185609756097561,993.3038675958189,6.629007497191085,0.6438642789189746,64.38642789189745,Very High,47.0
B0B53TD6GP,"Purina Pro Plan Small Breed Weight Management Dog Food, Shredded Blend Chicken & Rice Formula - 18 lb. Bag",Purina Pro Plan,Dogs,Food,,4.7,6924,7,0.11443609022556392,113.19364124597209,,0.6437330787015746,64.37330787015746,Very High,48.0
B09FC5THJP,"Purina Friskies Made in USA Facilities Cat Treats, Party Mix Original Crunch - 20 oz. Canister",Friskies,Cats,Treats,9.49,4.8,23936,27,0.45915083798882683,407.0457206703911,5.100028151558131,0.6435899432082334,64.35899432082334,Very High,49.0
B0C47CG4RV,"K9 Advantix II Large Dog Vet-Recommended Flea, Tick & Mosquito Treatment & Prevention | Dogs 21 - 55 lbs. | 6-Mo Supply",K9 advantix,Dogs,Flea & Tick Control,75.98,4.5,37894,12,0.1350388170055453,426.4300776340111,0.6243956969348194,0.6434743897427333,64.34743897427333,Very High,50.0
B0BG6VPJ72,Catstages Catnip Chase Track Green Interactive Cat Toy,Catstages,Cats,Toys,9.99,4.5,60250,37,0.3806285907401149,619.8073673538357,4.957781283209702,0.6433425317708945,64.33425317708945,Very High,51.0
B0BS8619KM,"Earth Rated Dog Wipes, Thick Plant Based Grooming Wipes For Easy Use on Paws, Body and Bum, Lavender Scented, 100 Count",Earth Rated,Dogs,Grooming,9.99,4.7,40896,5,0.12050673000791767,985.6486460807602,4.995837472635126,0.643340693643032,64.3340693643032,Very High,52.0
B0B67XXJ6H,"Purina Pro Plan High Protein Dog Food With Probiotics for Dogs, Shredded Blend Lamb & Rice Formula - 6 lb. Bag",Purina Pro Plan,Dogs,Food,,4.7,15604,16,0.14848780487804877,144.81273170731708,,0.6430322086569471,64.30322086569471,Very High,53.0
B09M5Z1826,"BAAPET 2/4/5/6 FT Dog Leash with Comfortable Padded Handle and Highly Reflective Threads for Small Medium and Large Dogs (5FT-1/2'', Black)",BAAPET,Dogs,"Collars, Harnesses & Leashes",9.89,4.7,73239,22,0.46863540937718684,1560.1085794261721,5.323259443306946,0.6428948183546249,64.2894818354625,Very High,54.0
B073QQT2WM,"KONG - Classic Dog Toy, Durable Natural Rubber- Fun to Chew, Chase and Fetch - for Extra Large Dogs",KONG,Dogs,Toys,19.99,4.6,79492,24,0.1703334110515272,564.1726463045,2.5964858195935965,0.6428676934290335,64.28676934290336,Very High,55.0
B09FG6P44R,"MidWest Foldable Metal Dog Exercise Pen / Pet Playpen, 24""W x 42""H, 1-Year Manufacturer's Warranty",MidWest Homes for Pets,Dogs,"Crates, Houses & Pens",62.99,4.6,69317,20,0.18766954377311962,650.4344882860667,0.813997706014779,0.6428060057483772,64.28060057483772,Very High,56.0
B0931G6RMK,Purina ONE Plus Large Breed Puppy Food Dry Formula - 16.5 lb. Bag,Purina ONE,Dogs,Food,31.58,4.7,19452,11,0.11039894493900429,195.22547972304648,1.4697927777184847,0.6427860470511041,64.27860470511041,Very High,57.0
B0C2DJM941,Nylabone Healthy Edibles Roast Beef Flavor Chew Treats for Dog 8 count Roast Beef X-Small/Petite,Nylabone,Dogs,Treats,8.43,4.4,26828,64,0.6052065858962411,253.69503572538054,5.322402153317069,0.6427618126977729,64.27618126977728,Very High,58.0
B002KM9HOQ,"Chuckit! Medium Rebounce Ball 2.5"", 2 Pack, Blues & Purples (20320)",Chuckit!,Dogs,Toys,7.12,4.8,5840,3,0.1297159090909091,252.51363636363638,5.8467352544091975,0.642717519585975,64.2717519585975,Very High,59.0
B08M43YBXZ,"Blueberry Pet 7 Patterns Spring Scent Inspired Pink Rose Print Ivory Adjustable Dog Collar, Large, Neck 18""-26""",Blueberry Pet,Dogs,"Collars, Harnesses & Leashes",14.99,4.7,13953,6,0.0687909604519774,159.97337853107345,2.9922982639857345,0.642559022025104,64.2559022025104,Very High,60.0
B09L6FV34F,Caldwell's Pet Supply Co. Potty Bells Housetraining Dog Doorbells for Dog Training and Housebreaking Your Dog Loud Dog Door Bell for Potty Training Puppies and Dogs (One Potty Bell - Brown),Caldwell's Pet Supply Co.,Dogs,"Doors, Gates & Ramps",11.99,4.6,12592,7,0.10050943396226415,180.8021132075472,3.6220286373500326,0.642419537741842,64.2419537741842,Very High,61.0
B0BTSJZ6MZ,"Hill's Natural Baked Light Dog Biscuits with Real Chicken for Small Dogs, Healthy Dog Snacks, 8 oz. Bag",HILL'S,Dogs,Treats,8.99,4.5,6284,16,0.28649411764705884,112.52056470588235,4.377824810301398,0.6420756842720616,64.20756842720617,Very High,62.0
B08QTW5SFM,Advantage II Large Cat Vet-Recommended Flea Treatment & Prevention | Cats Over 9 lbs. | 4-Month Supply,Advantage,Cats,Flea & Tick Control,47.98,4.5,65900,16,0.15726186632224734,647.7223119147562,1.0406750735091774,0.6416996633998211,64.16996633998211,Very High,63.0
B09GYCRTYQ,Mammoth Flossy Chews Color Rope Tug – Premium Cotton-Poly Rope Dog Toy – Colorful Interactive Tug of War Rope - Dog Chew Rope Naturally Flosses Teeth – 2 Knot Dog Rope Toy,Mammoth Pet Products,Dogs,Toys,15.32,4.5,13055,12,0.10493536340132147,114.16093076702097,2.7837150030951365,0.6416748105753951,64.1674810575395,Very High,64.0
B0C225W56P,"Jonny Cat Heavy Duty Jumbo Tear-Resistant Litter Box Liners, 15 Count",JONNY CAT,Cats,Litter & Housebreaking,9.84,4.7,24531,7,0.1011295681063123,354.4013478879924,4.827880918059513,0.6416581639348822,64.16581639348821,Very High,65.0
B09CTWTP3L,"PEDIGREE DENTASTIX Dual Flavor Small Dog Dental Treats, Bacon & Chicken Flavors Dental Bones, 5.08 oz. Pack (24 Treats)",Pedigree,Dogs,Treats,4.09,4.7,16546,30,0.3960104076322637,218.4129401561145,11.162741430027303,0.641494449368189,64.1494449368189,Very High,66.0
B0BTTWRCQ3,"Fresh Step Clumping Cat Litter, Advanced, Unscented, 18.5 lbs",Fresh Step,Cats,Litter & Housebreaking,13.11,4.5,13416,7,0.40509505703422055,776.3936121673005,3.2623379308662948,0.6414494703103688,64.14494703103688,Very High,67.0
B07QSBVJX3,"PetSafe Drinkwell Premium Replacement Carbon Filters, Dog and Cat Water Fountain Filters, 3 Pack, Black and White",PetSafe,Cats,Feeding & Watering Supplies,9.95,4.7,25873,9,0.0908958195089582,261.3052820172528,4.799665452024712,0.6413600841932963,64.13600841932963,Very High,68.0
B07CV7C4QC,"BSEEN LED Dog Collar, USB Rechargeable, Glowing pet Dog Collar for Night Safety, Fashion Light up Collar for Small Medium Large Dogs (Royal Blue)",BSEEN,Dogs,"Collars, Harnesses & Leashes",13.98,4.7,22749,11,0.17896312132549438,370.11200427578837,3.3728115875952613,0.6413252942242577,64.13252942242576,Very High,69.0
B0C3K7HN39,"goDog Furballz Squeaky Plush Ball Dog Toy, Chew Guard Technology - Purple, Large",goDog,Dogs,Toys,11.99,4.5,11898,6,0.05689719626168224,112.8271401869159,3.5220136270890903,0.6412555374754499,64.125553747545,Very High,70.0
B0BJ16KKML,"Medium Dog Crate | MidWest Life Stages 30"" Folding Metal Dog Crate | Divider Panel, Floor Protecting Feet, Plastic Tray | 30L x 19W x 21H Inches, Medium Dog Breed",MidWest Homes for Pets,Dogs,"Crates, Houses & Pens",48.99,4.7,27974,73,0.5251997163791066,201.25940912313874,0.9823150174718634,0.6410728370273798,64.10728370273799,Very High,71.0
B098BVYCZH,"Fruitables Baked Dog Treats – Pumpkin Treats for Dogs – Healthy Low Calorie Treats – Free of Wheat, Corn and Soy – Cripsy Bacon and Apple – 12 Ounces",Fruitables,Dogs,Treats,8.55,4.6,16478,20,0.15578300921187307,128.34962128966222,5.224008627046708,0.6407955660320125,64.07955660320125,Very High,72.0
B085B2ZT1P,Amazon Brand - Wag Dog Treats Chicken and Waffle Bites 12oz,WAG,Dogs,Treats,14.35,4.7,27630,17,0.7040544217687076,1144.2955102040817,3.3495094053025967,0.6406007207453073,64.06007207453072,Very High,73.0
B08W5G5B15,"Country Brook Petz - Green Martingale Heavy Duty Nylon Dog Collar - 21 Vibrant Color Options (1 Inch Width, Medium)",Country Brook Design,Dogs,"Collars, Harnesses & Leashes",12.97,4.6,18435,6,0.1397398622800306,429.35072685539404,3.4835372820097015,0.6404306837760242,64.04306837760242,Very High,74.0
B00PL5ZJSC,"Industrial Puppy Hook Patches for Harness - Service Dog, Emotional Support, in Training, Service Dog in Training, and Therapy Dog Patches",Industrial Puppy,Dogs,"Collars, Harnesses & Leashes",9.5,4.7,5977,4,0.06295760082730094,94.07439503619443,4.302153085406974,0.6404302168267112,64.04302168267112,Very High,75.0
B0923ZXKY8,"Blue Buffalo Wilderness Trail Treats High Protein Grain Free Crunchy Dog Treats Biscuits, Turkey Recipe, 36-oz box",Blue Buffalo,Dogs,Treats,18.98,4.7,12924,22,0.2093404188809003,122.97798061894342,2.3442843986865203,0.6403838039320885,64.03838039320885,Very High,76.0
B09SHDBQ1D,"SmartBones SmartSticks, Treat Your Dog to a Rawhide-Free Chew Made With Real Meat and Vegetables",SmartBones,Dogs,Treats,12.99,4.6,29573,47,0.49866852561868247,313.7686023004531,3.6455268690757343,0.640139525190017,64.0139525190017,Very High,77.0
B0B4PLXP1F,"Pat Your Pet Deshedding Brush - Double-Sided Undercoat Rake for Dogs & Cats - Shedding Comb and Dematting Tool for Grooming, Extra Wide",Pat Your Pet,Dogs,Grooming,14.92,4.6,37671,17,0.29570285714285716,655.2601371428572,3.248571917080938,0.6399225559732383,63.99225559732383,Very High,78.0
B0C68TNHFF,"Amazon Brand – Wag Chicken Flavor Hip & Joint Training Treats for Dogs, 1 lb. Bag (16 oz)",WAG,Dogs,Treats,11.32,4.5,16965,15,0.39532467532467536,447.1122077922078,3.8714973314182473,0.6398451255392891,63.98451255392891,Very High,79.0
B0BN2LZF56,"N-Bone 3-Rings Puppy Teething Ring, Chicken Flavor",N-Bone,Dogs,Treats,5.0,4.5,36117,12,0.23221869040050858,698.9202034329307,9.445091971511058,0.6397409404139488,63.97409404139488,Very High,80.0
B09L5ZW66W,"MIXJOY Calming Cat Beds for Indoor Cats, 20'' Kitten Donut Bed for Pet Up to 15lbs, Fluffy Small Cat Cuddler Bed, Anti-Anxiety Plush Faux Fur Large Cat Bed Washable (20'', Brown)",MIXJOY,Dogs,Beds & Furniture,15.29,4.5,17436,4,0.16543478260869565,721.1302173913043,2.87433443357938,0.6397144183222839,63.97144183222839,Very High,81.0
B0B45ZJ8MJ,Downtown Pet Supply Dog Poop Bags (220 CT - Pink Bags & 1 Dispenser) Waste Bag Dispenser Clips to Dog Leashes Bags & Dog Harnesses- Poop Scoop Bags are Leak-Proof Bags & Unscented,Downtown Pet Supply,Dogs,Litter & Housebreaking,9.99,4.7,14481,18,0.16414619532654284,132.05561414020372,4.50741845409001,0.6396660088231975,63.966600882319746,Very High,82.0
B0B36DXLQT,N-Bone Dog Chew Treats,N-Bone,Dogs,Treats,4.28,4.4,20978,21,0.22351048951048952,223.27633566433568,10.23028498879362,0.6394186717885858,63.94186717885858,Very High,83.0
B0764H9JTN,"PetArmor for Dogs, Flea and Tick Treatment for Large Dogs (45-88 Pounds), Includes 3 Month Supply of Topical Flea Treatments",PetArmor,Dogs,Flea & Tick Control,12.05,4.3,7118,3,0.2685882352941176,637.2703529411765,3.16541468414495,0.6392661515727381,63.926615157273815,Very High,84.0
B09TVCFW2P,"Tetra Whisper Air Pump 40 To 60 Gallons, For Aquariums, Powerful Airflow, Non-UL Listed",Tetra,Fish & Aquatic Pets,Aquarium Pumps & Filters,10.58,4.6,38262,14,0.12504694835680752,341.75330985915497,4.587929848170976,0.6392136746493281,63.92136746493281,Very High,85.0
B09SKH1G7L,"SmartyKat Super Scratcher Corrugated Cat Scratcher, Catnip Infusion Technology - Brown, Single Wide",SmartyKat,Cats,Beds & Furniture,14.23,4.3,13283,5,0.07013824884792626,186.3292718894009,2.86897800454923,0.6391266536457912,63.91266536457913,Very High,86.0
B0BKKP6RLB,"Minties Twists VetIQ Dog Dental Bone Treats, Dental Chews for Medium/Large Dogs (Over 40 Lbs), 20 Count",Minties,Dogs,Treats,9.94,4.6,22211,14,0.25734299516908216,408.2746618357488,4.631648352803108,0.639104780295348,63.9104780295348,Very High,87.0
B0C6DFX7DW,"FELINE GREENIES SMARTBITES Skin & Fur Crunchy and Soft Natural Cat Treats, Chicken Flavor, 2.1 oz. Pack",Greenies,Cats,Treats,2.47,4.8,15870,11,0.12360280546327058,178.325138427464,18.796273017342624,0.6390883950539412,63.90883950539412,Very High,88.0
B09FC4RLD3,Purina ONE Dry Dog Food Lamb and Rice Formula - 31.1 lb. Bag,Purina ONE,Dogs,Food,48.98,4.7,15975,15,0.1699925539836188,181.042069992554,0.9287578912402933,0.6389370579305104,63.89370579305103,Very High,89.0
B07CLGNQGZ,"JoyDaog Female Dog Diapers 4 Pack,Comfortable Durable,Premium Reusable Puppy Diapers for Small XS",JoyDaog,Dogs,Litter & Housebreaking,15.99,4.5,5521,4,0.44600732600732607,615.6016117216118,2.424904894697026,0.6389167051814413,63.891670518144124,Very High,90.0
