brand,product_count,avg_price,median_price,avg_rating,total_rating_number,total_review_count,avg_review_rating,avg_verified_purchase_ratio,animal_types_count,product_types_count,demand_proxy,brand_strength_score
Purina Pro Plan,20,44.552727272727275,39.84,4.59,131193,147,4.286862060041408,0.7185938578329882,2,1,131193,54.090544820372386
Pedigree,16,23.5375,14.735,4.44375,129863,198,4.62123076746477,0.8545780321244908,1,2,129863,52.321792455633584
Hartz,24,19.56692307692308,12.97,4.4125000000000005,127548,116,4.013767135642135,0.8458964646464646,5,7,127548,51.87447908584008
FURminator,8,36.582499999999996,31.5,4.5125,125305,56,4.410416666666666,1.0,2,1,125305,52.97004453697103
API,16,18.432666666666666,11.98,4.5625,121398,54,4.227529761904762,0.6517857142857143,1,6,121398,53.41244801155727
Blueberry Pet,24,19.87181818181818,16.49,4.516666666666667,117857,53,4.238636363636364,0.912878787878788,1,4,117857,52.742181646813194
ZippyPaws,13,14.846,11.99,4.546153846153846,117595,66,4.411782661782661,0.9807692307692307,1,1,117595,53.07639298042525
Purina Fancy Feast,13,15.165,13.4,4.653846153846154,115621,176,4.420748158651384,0.6751723187207058,1,2,115621,54.254917882784376
Tetra,14,11.319230769230769,8.06,4.614285714285714,114277,52,4.3458616780045345,0.8984126984126984,3,3,114277,53.73976802524624
Glad,2,5.19,5.19,4.4,111052,56,4.39937106918239,0.44339622641509435,1,1,111052,51.118156512789746
goDog,10,16.115000000000002,15.34,4.2,102081,70,3.711309523809524,0.7458333333333333,1,2,102081,48.440833101625344
Benebone,2,16.235,16.235,4.55,101584,40,4.5131578947368425,0.986842105263158,1,1,101584,52.45536280271428
Greenies,13,28.645,28.979999999999997,4.730769230769231,101076,209,4.656704419051471,0.9202475685234306,2,2,101076,54.51567151679941
Catstages,3,7.756666666666667,9.29,4.433333333333334,96810,62,4.187918687918688,0.8835181335181336,1,1,96810,50.89695383739668
Joytale,6,9.656666666666666,9.49,4.583333333333333,95860,12,4.416666666666667,1.0,2,2,95860,52.57383314580391
Bodhi Dog,9,14.867777777777778,13.99,4.122222222222223,95825,28,3.962962962962963,1.0,2,6,95825,47.28308155447888
Multipet,9,11.362222222222222,9.95,4.444444444444445,95021,98,3.857656417656418,0.973984533984534,1,1,95021,50.94161654542125
Kaytee,23,22.719375,15.36,4.504347826086956,94555,68,4.420447858777378,0.9064073226544622,6,8,94555,51.606076702873736
Pet Qwerks,8,8.943999999999999,7.99,4.0625,94461,70,3.8209325396825395,0.9350694444444445,1,1,94461,46.53980872210002
Purina ONE,8,32.49333333333333,31.58,4.6875,90559,67,4.4575549450549445,0.7222902097902097,2,1,90559,53.502037000485984
Best Friends by Sheri,8,34.535,29.990000000000002,4.375,89210,36,4.247326203208556,0.875,2,3,89210,49.86957337840916
BAAPET,5,10.89,9.89,4.66,89037,27,4.218181818181818,0.8,1,2,89037,53.10917432129125
PoyPet,7,18.867142857142856,17.83,4.514285714285714,88399,27,4.317176870748299,0.8571428571428571,1,1,88399,51.41603157951046
wegreeco,4,19.9875,20.985,4.525,87510,38,4.5234817813765185,0.95,1,1,87510,51.49232699875344
Wobble Wag Giggle,1,14.3,14.3,4.1,86226,29,3.9310344827586206,1.0,1,1,86226,46.59542839392675
Milk-Bone,12,18.825,19.96,4.575,85022,133,4.447814983505773,0.8474822874493927,1,1,85022,51.929347673506996
Casfuy,2,31.240000000000002,31.240000000000002,4.6,84833,22,4.0,1.0,1,1,84833,52.20287775017152
The Company of Animals,7,18.275714285714287,15.86,4.3999999999999995,83449,12,3.5476190476190474,0.5714285714285714,1,3,83449,49.86081288799591
TropiClean,9,12.847142857142858,12.99,4.411111111111111,82268,41,4.105050505050505,0.6121212121212121,2,3,82268,49.92385121178939
"IRIS USA, Inc.",11,64.26,79.98,4.472727272727273,81048,55,4.627777777777777,0.9343434343434344,3,6,81048,50.55438291818358
Coolaroo,2,18.509999999999998,18.509999999999998,4.65,80919,29,3.6964285714285716,0.9136904761904762,2,1,80919,52.550655754459825
K9 advantix,2,53.980000000000004,53.980000000000004,4.5,78925,28,4.125,1.0,1,1,78925,50.74319692621124
Good'n'Fun,8,46.421666666666674,9.74,4.5,77412,87,4.260031258880364,0.7678282182438193,1,1,77412,50.65609501858803
DELOMO,3,20.49,20.49,4.233333333333333,77382,23,4.221153846153846,0.9583333333333334,2,1,77382,47.6526114815262
Arm & Hammer,7,13.128333333333332,12.979999999999999,4.371428571428572,76882,40,4.186274509803922,0.8854341736694679,2,3,76882,49.17874656869906
Vivaglory,12,22.626363636363635,19.99,4.591666666666667,76262,19,4.565476190476191,0.875,2,6,76262,51.61925573024345
Hill's Science Diet,18,47.07285714285714,52.985,4.522222222222222,75247,50,4.339814814814814,0.6537037037037038,2,2,75247,50.777973932258064
Kuoser,11,25.171818181818182,22.99,4.5,73396,33,4.440988835725678,0.6770334928229665,1,2,73396,50.416372538247245
Zesty Paws,7,28.136666666666667,25.47,4.385714285714285,72652,35,4.412698412698413,0.6357560568086884,2,1,72652,49.09127340486178
Advantage,2,55.98,55.98,4.5,70132,18,4.125,0.96875,2,1,70132,50.211669232415595
TRIXIE,4,29.5825,30.314999999999998,4.375,67928,21,4.229166666666667,1.0,2,2,67928,48.677205154552766
DogRook,1,29.99,29.99,3.8,64142,16,4.0625,0.875,1,1,64142,42.06170693038474
Gooby,13,23.54111111111111,22.75,4.2846153846153845,63629,55,4.068145956607495,0.9444444444444445,1,2,63629,47.39144667137191
New World Pet Products,3,35.88666666666666,37.99,4.566666666666666,63013,25,3.8383838383838387,0.6868686868686869,1,1,63013,50.46674572661407
FRONTLINE,3,32.46,32.46,4.466666666666667,62917,26,4.2559523809523805,0.6845238095238096,1,2,62917,49.35482448054645
Providence Engraving,2,5.99,5.99,4.65,62342,11,4.5625,1.0,1,1,62342,51.33789104041853
AUROTH,2,18.04,18.04,4.6,62308,7,3.833333333333333,1.0,1,1,62308,50.78336132045737
SmartyKat,8,11.478,12.95,4.3999999999999995,61475,38,4.620833333333334,0.9666666666666667,1,2,61475,48.51616938839969
Pet Magasin,4,19.485,18.74,4.45,60450,26,4.1779761904761905,0.9791666666666666,1,2,60450,48.99266837333968
K&H PET PRODUCTS,24,42.486666666666665,39.3,4.45,60411,38,4.135416666666667,0.8541666666666666,3,5,60411,48.98979652660373
Dexas,4,23.2625,20.915,4.5,60066,14,4.45,0.575,2,2,60066,49.51447148188096
Downtown Pet Supply,22,22.74,16.99,4.304545454545455,59528,63,3.898989898989899,0.8825757575757577,4,7,59528,47.325114853465614
Taglory,6,12.256666666666666,10.24,4.5,59177,14,4.666666666666667,0.6666666666666666,2,3,59177,49.44737308581922
Pieviev,1,23.99,23.99,4.4,59138,12,4.0,0.8333333333333334,1,1,59138,48.34564189062999
N-Bone,5,7.3625,6.59,4.38,57958,51,4.4904761904761905,0.9904761904761905,1,1,57958,48.03761120637353
Active Pets,2,29.52,29.52,4.449999999999999,57941,6,4.833333333333334,0.8333333333333333,1,2,57941,48.80403016191762
UPSKY,3,11.656666666666666,10.99,4.166666666666667,56803,22,3.850877192982456,0.9824561403508771,2,3,56803,45.614008436520436
Neater Pet Brands,7,32.56142857142857,25.99,4.5,56790,21,4.464285714285714,1.0,2,2,56790,49.2620991365267
Iams,16,34.44,32.28,4.2625,55552,37,4.032738095238095,0.5577380952380953,2,1,55552,46.56820805578045
NaturVet,10,22.85222222222222,18.99,4.35,55304,21,4.088333333333333,0.95,2,2,55304,47.50469090711314
Hi Kiss,2,9.48,9.48,4.5,54209,13,3.9583333333333335,1.0,1,2,54209,49.05279302514472
Petstages,5,9.49,9.49,4.32,53871,29,4.105714285714286,0.9657142857142856,1,1,53871,47.0636617308517
VETRISCIENCE,11,27.881428571428568,27.54,4.118181818181818,53343,43,3.428571428571429,0.8961038961038962,2,1,53343,44.824419125948964
Virbac,7,27.451666666666664,23.82,4.542857142857143,52822,40,4.58265306122449,0.7285714285714285,2,3,52822,49.40221757040237
WAG,6,12.035,11.95,4.333333333333333,52667,49,4.525116713352007,0.38062558356676,2,2,52667,47.110974471063685
Four Paws,8,14.131428571428572,8.17,4.1125,52258,53,4.472064393939394,0.9105113636363636,2,4,52258,44.6780659481183
Meow Mix,8,14.485,14.34,4.45,52208,48,4.040601023017903,0.6820652173913043,1,2,52208,48.34039526897016
Simple Solution,7,23.49,25.49,4.171428571428572,51855,21,3.619047619047619,0.8163265306122449,3,3,51855,45.28597100301926
Fida,3,14.19,13.99,4.533333333333334,51326,6,4.25,1.0,1,1,51326,49.16840734516718
Temptations,5,18.476666666666667,15.48,4.68,51126,75,4.957608695652174,0.579539641943734,1,1,51126,50.74087829795872
SmartBones,9,12.31,9.43,4.577777777777778,51032,107,4.626346673421142,0.8401792750197006,1,1,51032,49.62415375162677
Fresh Step,5,15.43,15.69,4.58,50749,20,4.078571428571428,1.0,1,1,50749,49.62277438782048
Maxpower Planet,1,15.47,15.47,4.6,50192,8,4.0,1.0,1,1,50192,49.78870192713855
QUMY,6,15.323333333333332,10.99,4.116666666666666,50187,14,4.444444444444445,0.9166666666666666,2,2,50187,44.55687024366764
JECIKELON,3,11.656666666666666,10.99,4.366666666666666,49565,19,4.082251082251083,1.0,1,1,49565,47.20829705288544
Wellness,15,27.649,19.98,4.466666666666667,49399,77,3.795606060606061,0.7056060606060606,2,2,49399,48.27441880751953
Bolux,5,16.09,15.99,4.26,49020,20,3.861538461538461,0.7333333333333333,1,2,49020,46.00801728158814
Nutramax Laboratories,4,42.99,49.49,4.675,48573,30,4.2214285714285715,1.0,2,1,48573,50.44719423818438
Thundershirt,1,44.95,44.95,4.2,48117,9,3.6666666666666665,1.0,1,1,48117,45.28192874715339
PUPTECK,12,15.69,14.99,4.308333333333334,48054,28,4.243055555555555,0.9166666666666666,2,3,48054,46.44427048810057
Nature's Miracle,13,23.6,14.99,4.415384615384616,47867,32,4.420512820512821,0.7794871794871795,2,3,47867,47.581078738246276
Lintbells,1,59.9,59.9,4.4,47825,2,5.0,0.0,1,1,47825,47.411428696086304
Dr. Fremont's,1,2.77,2.77,4.5,46194,20,4.55,1.0,1,1,46194,48.332820807471805
Veken,3,19.99,19.99,4.333333333333333,45667,7,4.333333333333333,1.0,1,1,45667,46.492996822116936
BENCMATE,2,27.98,27.98,4.15,45222,10,3.4444444444444446,0.5,1,2,45222,44.48534850672492
Penn-Plax,14,29.992857142857144,13.995000000000001,4.2214285714285715,44895,20,4.023809523809524,0.9285714285714286,5,9,44895,45.22038181353709
Puppia,7,16.62857142857143,16.89,4.428571428571429,43848,33,4.459706959706959,1.0,1,1,43848,47.3348175668884
Vet's Best,6,22.413999999999998,20.35,4.016666666666667,43466,21,4.0059523809523805,0.7222222222222222,1,4,43466,42.89702518909681
ThinkPet,3,26.323333333333334,22.99,4.333333333333333,43070,13,4.611111111111111,1.0,1,2,43070,46.23928918178181
Barkbox,4,19.323333333333334,11.99,4.475,42961,14,4.944444444444445,1.0,1,2,42961,47.7396189915768
SlowTon,8,19.79,14.99,4.35,42011,17,4.4125,0.8125,3,4,42011,46.308840982730594
Natural Balance,22,29.346666666666668,30.25,4.486363636363636,41974,53,4.296536796536796,0.8041125541125541,2,2,41974,47.75657590309294
Pawaboo,3,18.656666666666666,14.99,4.1000000000000005,41182,8,2.9166666666666665,0.8333333333333334,1,2,41182,43.56570139818979
Andis,3,35.46666666666667,31.25,4.633333333333333,40129,11,4.611111111111111,1.0,2,1,40129,49.11277484644245
Purina Pro Plan Veterinary Diets,1,30.99,30.99,4.7,39781,23,4.304347826086956,1.0,1,1,39781,49.77849819002553
Max and Neo,8,14.365,14.99,4.6,39762,11,4.3125,1.0,1,3,39762,48.71718370894582
CuteBone,5,13.988,13.99,4.42,39522,13,4.566666666666666,1.0,1,2,39522,46.78410022481055
SleekEZ,1,21.95,21.95,4.5,39385,8,3.875,1.0,1,1,39385,47.615245659864634
Carefresh,1,8.99,8.99,4.6,39063,12,4.583333333333333,1.0,1,1,39063,48.63560038641088
Jolly Pets,6,13.401666666666666,13.785,4.2,38745,20,4.628787878787879,0.9848484848484849,1,1,38745,44.37208777531694
Cesar,5,34.475,34.475,4.62,38592,38,4.573752913752914,0.7312820512820513,2,2,38592,48.791017006380635
iYoShop,2,17.49,17.49,4.65,38490,7,3.75,1.0,1,1,38490,49.09553572922254
Pat Your Pet,1,14.92,14.92,4.6,37671,17,4.176470588235294,0.7647058823529411,1,1,37671,48.468693002847594
PetAmi,5,29.79,27.99,4.6,36469,11,4.720000000000001,1.0,1,3,36469,48.31952830549254
Fitwarm,20,13.865,13.99,4.46,36358,35,4.658333333333333,1.0,2,2,36358,46.83533882142668
Seresto,1,121.98,121.98,4.6,36303,17,4.529411764705882,1.0,1,1,36303,48.29854275229027
Country Brook Design,6,14.136666666666668,14.47,4.666666666666667,35760,15,4.777777777777778,1.0,1,1,35760,48.928194901143954
CollarDirect,6,11.49,10.99,4.283333333333333,35460,20,4.102564102564102,0.6666666666666666,2,1,35460,44.87300860775313
Jasonwell,1,26.99,26.99,4.5,35450,10,4.4,1.0,1,1,35450,47.141580331382066
SPOT,10,10.63125,10.54,4.17,35326,42,3.3592592592592596,0.9425925925925925,2,3,35326,43.669919772229925
Full Moon,6,13.290000000000001,12.99,4.683333333333334,35094,33,4.378198653198653,0.6703703703703704,1,1,35094,49.01489532858718
JoyDaog,7,23.99,25.99,4.442857142857143,35061,17,4.059523809523809,0.9642857142857143,1,2,35061,46.493936654217116
BABYLTRL,1,24.28,24.28,4.4,34959,6,2.8333333333333335,0.8333333333333334,1,1,34959,46.03262325098568
Reopet,1,13.99,13.99,4.5,34884,8,4.5,1.0,1,1,34884,47.069154973680014
West Paw,6,17.74,19.9,4.5,34828,12,4.361111111111111,1.0,1,1,34828,47.061925434299056
PAWZ Road,5,19.990000000000002,18.99,4.5200000000000005,33778,17,4.218181818181818,1.0,2,3,33778,47.13272753146831
TagME,5,8.790000000000001,9.99,4.58,33193,5,5.0,1.0,2,1,33193,47.67836982381745
Paw Legend,2,13.99,13.99,4.55,33053,13,4.428571428571429,1.0,1,1,33053,47.3468352934885
Gorilla Grip,4,25.49,25.490000000000002,4.45,32645,7,4.291666666666667,1.0,2,2,32645,46.25097538992721
Aqueon,7,10.55,6.535,4.414285714285714,32579,13,4.142857142857143,0.8333333333333333,1,5,32579,45.87084642266021
YUDODO,3,25.319999999999997,25.98,4.266666666666667,32536,11,4.583333333333333,1.0,1,1,32536,44.33123491114831
Stella & Chewy's,12,26.767272727272726,22.99,4.533333333333333,32286,40,4.0978535353535355,0.4545454545454546,2,1,32286,47.06697044641487
MarineLand,3,76.44333333333334,66.99,4.533333333333334,32193,11,4.027777777777778,0.6666666666666666,1,1,32193,47.053893717073336
Taste of the Wild,8,47.904,58.99,4.5125,31972,26,4.696428571428571,0.7708333333333333,2,1,31972,46.806569928755465
Hyper Pet,5,10.405,10.405,4.220000000000001,31878,14,3.7600000000000002,0.76,2,2,31878,43.76014566738667
Pet Gear,12,104.5690909090909,81.99,4.358333333333333,31057,33,4.551587301587301,0.9629629629629629,2,4,31057,45.08090767280448
Vastar,1,8.99,8.99,4.6,30939,7,4.428571428571429,1.0,1,1,30939,47.56310357098446
BV,1,8.99,8.99,4.6,30924,22,3.9545454545454546,1.0,1,1,30924,47.560872907399165
MODUS,1,24.99,24.99,3.7,30727,12,4.0,1.0,1,1,30727,38.231839409095244
VANFINE,1,11.99,11.99,4.2,30189,7,4.0,1.0,1,1,30189,43.32411729534372
PetANTastic,2,9.45,9.45,4.7,30181,12,5.0,1.0,1,1,30181,48.48050469613893
WAHL,10,13.316666666666668,9.99,4.21,30010,17,4.306666666666667,0.6799999999999999,2,2,30010,43.40223408504274
io tags,1,4.99,4.99,4.8,29491,19,4.894736842105263,0.9473684210526315,1,1,29491,49.40099673172579
PHOEPET,2,22.115,22.115,4.5,29434,12,4.444444444444445,1.0,1,1,29434,46.30472874658063
Comtim,1,4.99,4.99,4.8,29377,9,3.888888888888889,1.0,1,1,29377,49.38240659467853
EXPAWLORER,15,14.931666666666667,12.64,4.2,29339,28,4.488888888888889,1.0,2,5,29339,43.204169617127285
Illumiseen,3,18.99,15.99,4.333333333333333,29333,10,4.5,0.8333333333333334,1,1,29333,44.5748443044957
lesotc,2,16.97,16.97,4.6,29123,10,4.190476190476191,0.6666666666666666,1,1,29123,47.28486213536716
Instinct,9,33.22,35.66,4.5,29038,25,3.671296296296296,0.6203703703703705,2,1,29038,46.24377764887853
Paw Lifestyles,4,16.95,15.95,4.6,29006,15,3.991071428571429,0.9285714285714286,1,3,29006,47.26634531209762
Wondercide,1,13.99,13.99,4.2,28853,4,4.5,1.0,1,1,28853,43.13401642412402
VOOPET,3,17.923333333333332,16.79,4.333333333333333,28599,5,5.0,1.0,1,1,28599,44.46503531950109
KYEESE,16,15.516666666666667,14.99,4.45625,28224,20,4.75,1.0,1,1,28224,45.66748685231085
PETMAKER,9,48.6325,36.47,4.133333333333334,28193,40,4.0018518518518515,0.9861111111111112,2,3,28193,42.35370646910094
vecomfy,4,22.990000000000002,21.49,4.5,28192,10,4.1875,1.0,1,2,28192,46.11073049623099
ICEFANG,3,36.64333333333334,33.99,4.7,28141,3,4.333333333333333,0.6666666666666666,2,1,28141,48.15158648633655
Lickimat,4,14.643333333333333,16.95,4.35,28016,5,4.0,0.75,2,1,28016,44.54646535283355
OneTigris,4,25.835,25.990000000000002,4.65,27963,11,4.375,0.875,1,3,27963,47.60983060148823
Royal Canin,19,52.635000000000005,35.79,4.594736842105263,27223,29,4.026315789473684,0.5394736842105263,2,1,27223,46.92078279329362
Busy,2,23.159999999999997,23.159999999999997,4.65,27149,1517,4.431492537313433,0.9132784354091611,1,1,27149,47.47246531293368
Oxbow,4,19.595000000000002,14.515,4.825,26649,8,5.0,1.0,3,2,26649,49.169376872791005
EliteField,3,57.99,54.99,4.466666666666667,26622,9,4.333333333333333,1.0,2,1,26622,45.51323749659325
AUDWUD,3,15.656666666666666,15.99,4.3999999999999995,26573,6,4.166666666666667,1.0,1,3,26573,44.8258297218655
BARKBAY,2,26.99,26.99,4.5,26439,6,3.833333333333333,1.0,1,1,26439,45.8218498228453
Cloud Star,10,17.58142857142857,10.79,4.5,26137,19,4.804166666666666,0.5875,1,1,26137,45.77015462920642
NOYAL,4,19.215,18.939999999999998,4.2250000000000005,26043,9,4.708333333333333,1.0,3,3,26043,42.957867883657286
Bone Dry,14,18.287777777777777,12.64,4.242857142857143,25901,64,4.368267050409908,0.10287807430664574,2,4,25901,43.11623447201013
Cat's Pride,2,10.57,10.57,4.45,25811,43,4.295833333333333,0.9625,1,1,25811,45.20574676679801
Supet,3,14.986666666666666,14.98,4.166666666666667,25220,6,2.3333333333333335,0.6666666666666666,2,2,25220,42.23096774918086
Eagloo,1,25.99,25.99,4.5,24945,3,5.0,1.0,1,1,24945,45.560109454585444
ladoogo,2,12.49,12.49,4.7,24767,3,4.75,1.0,1,1,24767,47.551346549030434
The Honest Kitchen,6,68.628,55.99,4.266666666666667,24601,33,3.956349206349206,0.5198412698412699,2,1,24601,43.13848754956258
JONNY CAT,1,9.84,9.84,4.7,24531,7,4.714285714285714,1.0,1,1,24531,47.50634823370561
RC Pet Products,15,16.58,16.58,4.52,24367,28,4.5371428571428565,0.9333333333333333,1,3,24367,45.65663785960994
EcoBark,2,14.989999999999998,14.989999999999998,4.4,24355,17,3.6333333333333333,0.9583333333333333,1,1,24355,44.44234742080525
HEELE,1,7.99,7.99,3.7,24300,5,2.2,0.4,1,1,24300,37.36360928875755
Seachem,7,13.542857142857143,9.49,4.585714285714286,24252,14,3.8857142857142857,1.0,1,3,24252,46.29872696596293
DreamBone,8,32.52166666666667,9.89,4.5125,24037,68,4.549246273712737,0.7647357723577236,1,1,24037,45.51935274718872
BSEEN,2,11.865,11.865,4.550000000000001,23951,12,4.727272727272727,1.0,1,1,23951,45.881322335300325
Nerf Dog,7,21.453333333333333,12.765,4.314285714285715,23803,15,4.385714285714285,0.7928571428571428,1,1,23803,43.47768416649933
JW,11,9.169,8.47,4.345454545454545,23760,37,3.6875901875901875,0.9696969696969696,3,5,23760,43.78393464675981
Our Pets,6,16.91,16.91,4.216666666666667,23735,18,3.9214285714285713,0.7999999999999999,2,3,23735,42.481854749642935
Vitakraft,9,5.4375,4.99,4.388888888888889,23538,17,4.333333333333333,1.0,4,3,23538,44.180372112402104
Hoki Found,1,15.99,15.99,4.6,23391,7,4.571428571428571,1.0,1,1,23391,46.276687067727714
Nutri-Vet,8,17.343333333333334,14.47,4.375,23377,15,4.770833333333333,0.75,2,2,23377,44.010534260733756
TevraPet,3,24.97,24.97,4.033333333333333,23224,6,3.6666666666666665,0.6666666666666666,1,2,23224,40.54703774018423
Stewart,2,13.485,13.485,4.5,23210,12,4.545454545454545,0.45454545454545453,1,1,23210,45.23571712447904
TIKI PETS,9,22.828333333333333,22.865000000000002,4.322222222222222,23044,28,4.1,0.6444444444444444,2,2,23044,43.41760441005714
Fruitables,5,13.27,13.27,4.62,22544,30,4.2299999999999995,0.99,1,1,22544,46.307500889750955
RUFFWEAR,10,46.25333333333333,42.45,4.4799999999999995,22463,11,4.4,1.0,1,2,22463,44.88811849457841
Neater Feeder,1,55.99,55.99,4.6,22450,6,4.166666666666667,1.0,1,1,22450,46.08781600379778
PEGGY11,2,29.485,29.485,4.7,22379,4,4.333333333333333,1.0,1,1,22379,47.07483801476981
Jack & Pup,6,23.215,22.725,4.366666666666666,22369,36,4.281481481481482,0.9907407407407408,2,1,22369,43.734245437914225
Loving Pets,11,10.35888888888889,9.69,4.372727272727273,22274,33,4.0606060606060606,1.0,2,3,22274,43.7763358306824
Minties,1,9.94,9.94,4.6,22211,14,3.9285714285714284,0.7142857142857143,1,1,22211,46.038584626862885
Majestic Pet,7,61.97,67.37,4.185714285714286,21699,28,4.06926406926407,1.0,2,2,21699,41.79463984402665
Ameritex,2,35.99,35.99,4.4,21456,6,3.7,0.9,1,1,21456,43.884747330358366
Mayerzon,5,13.63,11.99,3.7600000000000002,21311,9,3.9200000000000004,0.96,1,1,21311,37.47601615575884
BINGPET,7,13.648333333333333,13.219999999999999,4.171428571428572,21197,12,4.666666666666666,0.8571428571428571,2,2,21197,41.55436197204947
AquaClear,2,55.985,55.985,4.5,21133,6,4.2,1.0,1,1,21133,44.8138727865044
Didog,7,15.132857142857143,15.99,4.242857142857143,21031,11,4.5,1.0,1,1,21031,42.23255298319552
GoodBoy,2,18.99,18.99,3.8499999999999996,21009,4,3.0,1.0,1,1,21009,38.31810210628032
Nutro,10,43.7325,26.485,4.4799999999999995,20675,25,4.095833333333333,0.7916666666666667,2,2,20675,44.51654541069536
H HANDSON,1,24.99,24.99,4.4,20638,6,5.0,1.0,1,1,20638,43.713726182761256
Nature's Recipe,6,,,4.133333333333333,20574,27,4.472222222222222,0.6944444444444445,1,2,20574,41.05157237225378
Industrial Puppy,3,19.466666666666665,23.95,4.633333333333333,20476,6,4.083333333333333,1.0,1,1,20476,45.99536680609166
DID YOU FEED THE DOG?,1,12.95,12.95,4.6,20464,7,4.0,1.0,1,1,20464,45.66176838906191
PPOGOO,1,19.95,19.95,4.4,20388,3,2.0,0.6666666666666666,1,1,20388,43.66010360235469
Teamoy,3,25.323333333333334,21.99,4.6000000000000005,20386,10,4.666666666666667,1.0,1,2,20386,45.644202520266845
Zampa,3,39.99,49.99,4.333333333333333,20223,9,4.111111111111112,1.0,2,3,20223,42.96337628676853
Natural Farm,4,24.490000000000002,25.49,4.425000000000001,19806,9,4.708333333333333,0.5,1,1,19806,43.7800238012909
WINSEE,1,19.99,19.99,4.5,19794,5,4.8,1.0,1,1,19794,44.51933096793103
Natural Dog Company,1,5.95,5.95,4.5,19703,7,4.142857142857143,1.0,1,1,19703,44.49859622910168
FunTags,2,7.24,7.24,4.65,19635,4,4.333333333333333,1.0,1,1,19635,45.96580751257744
FLEXI,7,26.05333333333333,19.51,4.142857142857143,19554,22,4.538095238095238,1.0,1,1,19554,40.935514618356976
Jalousie,7,21.417142857142856,19.99,4.314285714285714,19378,9,5.0,0.8571428571428571,1,1,19378,42.59039251324182
Coastal,16,19.796,14.49,4.44375,19342,24,4.145833333333333,0.9479166666666666,2,3,19342,43.86019411103994
Orlushy,1,11.99,11.99,4.5,19340,2,4.5,1.0,1,1,19340,44.41492113290428
Blazin,2,21.99,21.99,4.6,19275,8,4.785714285714286,1.0,1,2,19275,45.38643395769702
Hubulk,2,8.99,8.99,4.5,19228,5,4.083333333333334,1.0,1,1,19228,44.388786758177645
Prodigen,2,38.49,38.49,4.6,19209,2,4.5,0.5,2,2,19209,45.37065677650797
Yaheetech,5,91.186,59.99,4.4799999999999995,19205,6,4.2,1.0,4,5,19205,44.186141481206676
Niteangel,3,17.656666666666666,8.99,4.3999999999999995,18986,3,5.0,1.0,1,3,18986,43.34664317915102
Omega Paw,4,58.68,58.68,4.05,18984,26,3.7,0.9605263157894737,1,1,18984,39.89818811429691
Pup-Peroni,4,23.97,23.97,4.675,18806,19,4.857142857142858,1.0,1,1,18806,46.01127716322921
QQPETS,5,13.59,13.99,4.4399999999999995,18801,5,3.6,0.8,1,1,18801,43.69723025605492
2 Hounds Design,3,41.300000000000004,41.96,4.466666666666667,18746,5,2.8333333333333335,1.0,1,1,18746,43.94659094973412
Snoozer,7,147.15,125.95,4.3,18737,23,4.428571428571429,1.0,2,2,18737,42.30472795399787
Mammoth Pet Products,3,18.38,18.47,4.433333333333334,18575,19,3.8888888888888893,0.9166666666666666,1,2,18575,43.57800728745702
