brand,product_type,product_count,avg_price,avg_rating,total_rating_number,total_review_count,demand_proxy
AMZNOVA,Beds & Furniture,1,13.99,4.5,8103,3,8103
AMZNOVA,"Collars, Harnesses & Leashes",1,,4.1,31,1,31
AMZSEA,Health Supplies,1,22.99,3.2,107,1,107
ANEMAUX,"Collars, Harnesses & Leashes",1,7.29,4.6,79,1,79
ANOSOSPECIAL,Carriers & Travel Products,1,26.87,4.6,445,1,445
ANWA,Beds & Furniture,1,29.98,4.6,3370,3,3370
AOFITEE,Apparel & Accessories,1,26.89,4.5,687,1,687
AOKLANT,Feeding & Watering Supplies,3,9.99,4.3999999999999995,990,9,990
AOTYPE,Toys,1,9.99,3.9,28,1,28
API,Aquarium Water Treatments,8,19.165,4.5625,61402,22,61402
API,Food,4,14.806666666666667,4.625,17484,20,17484
API,Aquarium Cleaners,1,9.0,4.5,1368,2,1368
API,Aquarium Test Kits,1,49.75,4.7,33851,5,33851
API,Automatic Feeders,1,4.5,4.2,4809,4,4809
API,Medication & Health Supplies,1,15.5,4.6,2484,1,2484
APPARELYN,Apparel & Accessories,1,18.99,4.3,190,1,190
AQUANEAT,Aquarium Pumps & Filters,1,7.99,4.7,56,1,56
AQUATICBLENDEDFOODS,Food,1,14.99,4.5,1576,1,1576
ARCA PET,Health Supplies,1,12.99,4.6,186,1,186
ARK NATURALS,Health Supplies,3,17.04,4.433333333333334,18183,10,18183
ARRR,Litter & Housebreaking,1,,4.7,22,1,22
ARTERO,Grooming,1,,4.7,2596,1,2596
ASENKU,Apparel & Accessories,3,17.323333333333334,4.433333333333334,3628,3,3628
ASENKU,Beds & Furniture,2,,4.6,94,2,94
ASPCA,Beds & Furniture,2,21.99,4.1,9453,4,9453
ASPEN/BOODA CORPORATION,Toys,1,,4.1,32,1,32
ATESON,Grooming,1,22.99,4.2,2049,1,2049
AUDWUD,"Collars, Harnesses & Leashes",1,8.99,4.5,599,1,599
AUDWUD,Feeding & Watering Supplies,1,21.99,4.4,16304,4,16304
AUDWUD,Training & Behavior Aids,1,15.99,4.3,9670,1,9670
AUPCON,Health Supplies,1,10.99,4.6,4190,1,4190
AUROTH,"Collars, Harnesses & Leashes",2,18.04,4.6,62308,7,62308
AUTOWT,"Collars, Harnesses & Leashes",2,15.99,4.55,2516,2,2516
AVANTEK,Beds & Furniture,1,,5.0,3,1,3
AVERYDAY,Feeding & Watering Supplies,1,54.99,4.6,3590,1,3590
Abenstoc,Training & Behavior Aids,1,13.98,4.6,199,1,199
Accesyes,"Collars, Harnesses & Leashes",1,8.99,4.0,217,1,217
Active Pets,Beds & Furniture,1,25.78,4.3,10814,3,10814
Active Pets,Carriers & Travel Products,1,33.26,4.6,47127,3,47127
ActiveDogs.com,"Collars, Harnesses & Leashes",2,38.225,4.35,1068,2,1068
Adams,Flea & Tick Control,2,12.435,4.25,11149,3,11149
Addiction,Food,1,,4.1,321,1,321
Addiction Pet Foods,Food,1,,4.0,41,1,41
Adhere To Fly,Feeding & Watering Supplies,1,21.99,4.5,252,1,252
Aduck,Toys,1,8.99,3.9,932,1,932
Advantage,Flea & Tick Control,2,55.98,4.5,70132,18,70132
Aecllcea,"Collars, Harnesses & Leashes",1,13.99,4.5,454,1,454
Aesfee,Grooming,1,,4.2,24,1,24
Aetertek,"Collars, Harnesses & Leashes",1,,3.5,53,1,53
After Surgery Wear,Health Supplies,1,24.99,3.4,1949,1,1949
Agkey,Beds & Furniture,1,,3.8,168,1,168
Aiitle,"Collars, Harnesses & Leashes",1,11.99,4.2,3077,1,3077
AikoPets,Toys,1,,4.2,28,1,28
Aivituvin,Beds & Furniture,1,194.99,4.5,1394,1,1394
Aivituvin,"Crates, Houses & Pens",1,49.99,4.1,4268,1,4268
AkoSlale,Health Supplies,1,11.98,4.4,60,1,60
Akongy,Toys,1,18.8,4.4,395,1,395
Akopawon,Apparel & Accessories,1,9.99,3.5,279,1,279
Alemon,Apparel & Accessories,1,12.99,4.2,1398,1,1398
Alfheim,Grooming,1,,4.2,533,1,533
Alfie,Apparel & Accessories,1,27.99,4.6,1573,1,1573
Alfie,Health Supplies,1,23.99,4.0,10656,3,10656
Alfie,Training & Behavior Aids,1,13.99,4.4,567,1,567
Alitaver,Treats,1,,4.8,502,1,502
All 4s,Toys,1,6.99,3.5,29,1,29
All Four Paws,Health Supplies,1,44.54,4.3,18014,11,18014
Allisandro,Beds & Furniture,2,30.495,4.65,1406,7,1406
Allstar Innovations,Grooming,1,,2.8,1146,3,1146
Alpha Paw,Treats,1,,4.3,238,1,238
AlphaPooch,Beds & Furniture,1,,3.7,140,1,140
Alroman,Apparel,1,8.76,4.2,1834,1,1834
Amakunft,Apparel & Accessories,1,15.99,4.3,5026,2,5026
Amakunft,Houses & Habitats,1,14.19,4.3,6793,2,6793
Amazing,Litter & Housebreaking,1,16.36,3.7,350,1,350
Amazing Dog Treats,Treats,4,20.656666666666666,4.125,2507,5,2507
Amazon Basics,Beds & Furniture,8,37.17714285714286,4.475,121253,42,121253
Amazon Basics,Litter & Housebreaking,7,23.26571428571429,4.6000000000000005,465796,137,465796
Amazon Basics,Carriers & Travel Products,4,57.75749999999999,4.525,92996,22,92996
Amazon Basics,"Crates, Houses & Pens",4,62.05666666666667,4.325,77299,8,77299
Amazon Basics,Flea & Tick Control,2,38.36,4.15,30425,19,30425
Amazon Basics,"Collars, Harnesses & Leashes",1,20.59,4.6,7719,3,7719
Amazon Basics,Toys,1,9.23,4.4,73,1,73
American Apparel,Apparel & Accessories,1,,4.1,160,2,160
American Cat Club,Beds & Furniture,1,16.24,4.2,3050,1,3050
American Kennel Club,Apparel & Accessories,2,34.99,4.0,10891,4,10891
American Kennel Club,Beds & Furniture,2,34.99,4.05,2105,2,2105
American Pet Supplies,Feeding & Watering Supplies,1,,3.8,5,1,5
Ameritex,Beds & Furniture,2,35.99,4.4,21456,6,21456
Amzey,Treats,1,16.95,4.0,558,5,558
AnNengJing,"Collars, Harnesses & Leashes",1,14.99,4.4,902,1,902
Ancaixin,Feeding & Watering Supplies,1,,4.5,749,1,749
Andiker,Toys,1,,4.0,36,1,36
Andis,Grooming,3,35.46666666666667,4.633333333333333,40129,11,40129
Angel Pet Supplies,"Collars, Harnesses & Leashes",2,,4.6,226,2,226
Angel Pet Supplies Inc.,"Collars, Harnesses & Leashes",1,,4.5,164,1,164
Angel's Eyes,Health Supplies,1,23.99,4.1,5519,1,5519
Anit Accessories,"Collars, Harnesses & Leashes",1,3.99,3.2,5,2,5
Annamaet,Food,1,85.99,4.7,76,1,76
Annamaet,Health Supplies,1,51.68,4.2,100,1,100
Anosiar,Toys,1,,3.1,23,1,23
Anovo,Feeding & Watering Supplies,1,13.99,4.7,783,1,783
AoLove,"Collars, Harnesses & Leashes",3,9.723333333333334,4.433333333333334,11735,7,11735
Aoyar,Automatic Feeders,1,25.95,4.3,1698,1,1698
Apasiri,Toys,1,11.85,4.3,6817,3,6817
Aqua Clear,Aquarium Pumps & Filters,1,1.99,4.5,66,1,66
AquaClear,Aquarium Pumps & Filters,2,55.985,4.5,21133,6,21133
AquaLeaf Aquatics,Aquarium Décor,1,,4.1,173,1,173
Aquapaw,Grooming,1,,4.4,5352,1,5352
Aquatic Experts,Aquarium Pumps & Filters,1,19.99,4.7,4992,1,4992
Aquatic Life,Aquarium Pumps & Filters,1,81.99,4.6,5365,1,5365
Aqueon,Aquarium Water Treatments,2,14.565,4.6,12577,4,12577
Aqueon,Food,2,5.48,4.5,2724,3,2724
Aqueon,Aquarium Lights,1,,3.8,146,1,146
Aqueon,Aquarium Pumps & Filters,1,7.59,4.7,13721,2,13721
Aqueon,Aquariums & Fish Bowls,1,,4.2,3411,3,3411
Arf Pets,Beds & Furniture,1,,3.8,38,1,38
Arf Pets,"Crates, Houses & Pens",1,,4.3,1053,1,1053
Arf Pets,"Doors, Gates & Ramps",1,69.75,4.2,142,2,142
Arf Pets,Litter & Housebreaking,1,109.99,4.5,863,1,863
Aria,Apparel & Accessories,1,22.88,4.6,67,1,67
Aring pet,"Collars, Harnesses & Leashes",4,17.9425,4.575,8299,4,8299
Aring pet,Apparel & Accessories,1,10.99,4.7,680,1,680
Arkham Pet,"Collars, Harnesses & Leashes",1,12.98,4.3,203,1,203
Arm & Hammer,Litter & Housebreaking,3,18.99,4.366666666666666,12625,14,12625
Arm & Hammer,Health Supplies,2,7.48,4.300000000000001,54189,8,54189
Arm & Hammer,Treats,2,12.915,4.45,10068,18,10068
Armarkat,Beds & Furniture,4,101.78666666666668,4.375,13128,19,13128
Arthur Andrew Medical,Health Supplies,1,39.99,5.0,8,1,8
Asvin,Beds & Furniture,1,19.99,4.6,4190,1,4190
Auburn Leathercrafters,"Collars, Harnesses & Leashes",1,62.0,4.6,190,1,190
Aufeeky,Aquarium Décor,1,,2.9,4,1,4
Auuil,"Collars, Harnesses & Leashes",1,16.99,4.2,74,1,74
Avenpets,"Collars, Harnesses & Leashes",1,4.9,4.5,388,1,388
AvoDerm,Food,3,34.49,4.133333333333333,853,11,853
AvoDerm,Treats,1,,3.1,50,1,50
Awesome Aquatic,Aquarium Water Treatments,1,14.99,4.5,1065,1,1065
Azwraith,Feeding & Watering Supplies,1,16.99,4.4,1870,2,1870
BAAPET,"Collars, Harnesses & Leashes",4,11.64,4.7,85592,26,85592
BAAPET,Training & Behavior Aids,1,7.89,4.5,3445,1,3445
BABYLTRL,"Collars, Harnesses & Leashes",1,24.28,4.4,34959,6,34959
BALLMIE,Toys,1,12.99,4.4,52,1,52
BAPSOUZU,Toys,1,11.99,4.1,205,2,205
BARK&SPARK,Health Supplies,1,36.91,4.3,5964,2,5964
BARKBAY,"Collars, Harnesses & Leashes",2,26.99,4.5,26439,6,26439
BARKLESS,"Collars, Harnesses & Leashes",1,17.99,3.7,6286,1,6286
BARMI,Toys,1,13.99,4.4,1020,1,1020
BAROMGA,Beds & Furniture,1,28.99,4.5,445,1,445
BAWAN,Toys,1,10.79,4.3,955,1,955
BEAU JARDIN,Beds & Furniture,1,,4.2,106,2,106
BEAUMONT BASICS,Treats,1,,4.1,5338,3,5338
BEAUTYZOO,Apparel & Accessories,1,5.99,4.3,104,1,104
BEDSURE,Beds & Furniture,9,43.66222222222222,4.544444444444444,138912,28,138912
BEFAiR,Apparel & Accessories,1,13.99,4.6,37,1,37
BELPRO,"Collars, Harnesses & Leashes",1,36.99,4.4,2729,1,2729
BENCMATE,Grooming,1,,4.2,240,1,240
BENCMATE,Health Supplies,1,27.98,4.1,44982,9,44982
BENTOPAL,Toys,2,11.99,4.2,1287,3,1287
BESAZW,Houses & Habitats,1,19.12,4.1,61,1,61
BEWISHOME,Beds & Furniture,2,76.4,4.65,6820,2,6820
BEXLEY LABS,Health Supplies,1,13.99,4.4,564,2,564
BFPETHOME,Beds & Furniture,1,37.99,4.4,1387,1,1387
BIGWING Style,"Crates, Houses & Pens",1,,4.3,5144,1,5144
BINGPET,Apparel & Accessories,6,13.98,4.25,20798,11,20798
BINGPET,Toys,1,11.99,3.7,399,1,399
BIRD KABOB,Toys,1,17.98,4.5,379,2,379
BIXBI,Food,2,77.49,4.3,797,3,797
BIXBI,Health Supplies,2,15.395,4.55,1983,9,1983
BIXBI,Treats,2,6.99,4.6,3813,3,3813
BOBIBI,Apparel & Accessories,1,3.9,4.2,2297,5,2297
BODISEINT,Beds & Furniture,1,17.99,4.6,12925,3,12925
BONAWEN,"Collars, Harnesses & Leashes",2,13.44,4.45,3997,3,3997
BONAWEN,Apparel & Accessories,1,14.59,4.3,1047,1,1047
BOOMIBOO,"Collars, Harnesses & Leashes",2,5.49,4.55,5916,5,5916
BOTARO,Grooming,1,,4.4,196,1,196
BOTARO,Treats,1,,4.8,207,1,207
BRINGERPET,Litter & Housebreaking,1,44.5,4.1,22,1,22
BRUTUS & BARNABY,Treats,2,30.985,4.199999999999999,9202,9,9202
BRUTUS & BARNABY,Food,1,28.99,4.0,604,1,604
BSEEN,"Collars, Harnesses & Leashes",2,11.865,4.550000000000001,23951,12,23951
BTDCFY,"Collars, Harnesses & Leashes",2,12.940000000000001,4.4,6572,2,6572
BTINESFUL,Training & Behavior Aids,2,18.99,4.6,2891,3,2891
BUCATSTATE,Feeding & Watering Supplies,1,11.98,4.2,413,2,413
BUILT,"Collars, Harnesses & Leashes",1,22.99,4.5,39,2,39
BULLYMAKE,Toys,1,20.33,4.3,5859,1,5859
BUUOC,"Collars, Harnesses & Leashes",1,35.99,4.5,2208,1,2208
BV,Training & Behavior Aids,1,8.99,4.6,30924,22,30924
BWOGUE,Apparel & Accessories,1,13.99,4.3,760,3,760
BWOGUE,Toys,1,13.99,4.5,2056,3,2056
BXI,Aquarium Substrate,1,12.99,4.5,1022,2,1022
BZONZOON,Toys,1,9.89,4.2,8171,2,8171
BZTSGJ,Memorials & Funerary,1,16.99,4.6,460,1,460
Bags on Board,Litter & Housebreaking,1,16.41,4.8,4376,3,4376
Baja Ponchos,Apparel & Accessories,1,16.99,4.6,4791,5,4791
Bangp,Feeding & Watering Supplies,1,11.97,4.4,1088,1,1088
Bark Appeal,"Collars, Harnesses & Leashes",1,21.99,4.5,1518,1,1518
Bark Lover,"Collars, Harnesses & Leashes",1,12.99,4.3,1955,3,1955
Bark Lover,Toys,1,9.99,4.2,209,1,209
Barkbox,Beds & Furniture,2,33.99,4.45,31014,10,31014
Barkbox,Toys,2,11.99,4.5,11947,4,11947
BarksBar,Beds & Furniture,1,43.95,4.4,9421,6,9421
Barkworthies,Treats,2,14.235,3.85,683,2,683
Barleygoo,Apparel & Accessories,1,8.99,4.2,972,1,972
Barleygoo,"Collars, Harnesses & Leashes",1,9.99,4.4,786,1,786
Bayer Animal Health,Flea & Tick Control,1,,4.5,1988,2,1988
Bayer Animal Health,Grooming,1,,4.5,110,1,110
Beacozofu,Litter & Housebreaking,1,11.99,4.4,1544,1,1544
BeamsWork,Aquarium Lights,1,149.95,4.5,1496,1,1496
Because Animals,Health Supplies,1,,4.4,632,1,632
Beebiepet,"Collars, Harnesses & Leashes",1,12.99,4.6,7545,1,7545
Beefeaters,Treats,1,,5.0,1,1,1
Beewarm,Toys,1,9.9,4.0,4166,3,4166
Beirui,"Collars, Harnesses & Leashes",3,14.323333333333332,4.366666666666667,4669,4,4669
Bella,Food,1,21.85,4.5,5610,13,5610
Beloved Pets,Health Supplies,1,19.8,4.3,325,1,325
Benebone,Toys,2,16.235,4.55,101584,40,101584
Beneful,Food,7,35.13333333333333,4.571428571428571,16729,31,16729
Beneful,Treats,1,,4.6,300,1,300
Bergan,Carriers & Strollers,1,,4.4,2619,1,2619
Bernie's,Health Supplies,1,46.99,4.4,14106,4,14106
Berytta,Training & Behavior Aids,1,20.99,4.5,1582,2,1582
Bessie + Barnie,Beds & Furniture,1,109.0,4.2,105,1,105
Best Breed,Food,4,16.49,4.45,484,4,484
Best Bully Sticks,Treats,5,36.089999999999996,4.2,15125,20,15125
Best Buy Bones,Treats,1,11.88,4.7,20,1,20
Best Choice Products,Beds & Furniture,1,,4.3,594,1,594
Best Choice Products,Carriers & Travel Products,1,149.99,4.6,1130,1,1130
Best Choice Products,"Crates, Houses & Pens",1,,4.2,1139,1,1139
Best Friends by Sheri,Beds & Furniture,6,43.99,4.416666666666667,88934,34,88934
Best Friends by Sheri,"Crates, Houses & Pens",1,,4.0,70,1,70
Best Friends by Sheri,Toys,1,6.17,4.5,206,1,206
Best Music Posters,Carriers & Travel Products,1,49.16,4.0,21,1,21
Best Paw Nutrition,Health Supplies,1,24.97,4.5,5233,5,5233
Best Pet Supplies,"Collars, Harnesses & Leashes",7,15.540000000000001,4.542857142857143,183922,63,183922
Best Pet Supplies,Beds & Furniture,5,62.99,4.6,46511,14,46511
Best Pet Supplies,Apparel & Accessories,3,12.656666666666666,4.133333333333334,3564,5,3564
Best Pet Supplies,Treats,3,65.64,4.5,2375,6,2375
Best Pet Supplies,Toys,2,18.375,4.5,37442,13,37442
Best Pet Supplies,Litter & Housebreaking,1,9.99,4.8,37599,2,37599
Best Shot Pet,Grooming,1,10.5,4.7,211,1,211
BestPet,Carriers & Travel Products,2,31.99,3.85,8826,3,8826
BestPet,Beds & Furniture,1,,4.3,1902,1,1902
BestPet,"Crates, Houses & Pens",1,59.99,4.4,1987,1,1987
BestPet,Grooming,1,,4.3,656,1,656
Better Belly,Treats,1,8.88,4.6,3090,6,3090
Beyond,Food,5,21.78,4.46,16395,39,16395
Big Barker,Beds & Furniture,1,239.95,4.7,8813,4,8813
Big Dog Antler Chews,Treats,1,34.97,4.6,570,1,570
Biggun,Houses & Habitats,1,39.99,4.2,385,1,385
Bil-Jac,Treats,3,27.706666666666667,4.8,9550,12,9550
BinetGo,Beds & Furniture,1,26.99,4.4,9959,2,9959
Bio-groom,Grooming,1,173.92,4.7,388,1,388
BioBag,Litter & Housebreaking,1,28.4,4.5,550,1,550
BioSilk,Grooming,1,19.71,4.7,5072,1,5072
Birds LOVE,Toys,2,,4.15,351,3,351
Birds LOVE,Birdcage Accessories,1,55.64,4.4,496,1,496
Birds LOVE,Food,1,,4.3,28,1,28
Birds LOVE,Health Supplies,1,98.71,4.1,7335,2,7335
Birds LOVE,Treats,1,63.67,4.5,5167,5,5167
Black Rhino,Feeding & Watering Supplies,1,44.99,4.8,151,1,151
Black Rhino,Training & Behavior Aids,1,26.99,4.7,5338,1,5338
BlackHole Litter Mat,Litter & Housebreaking,1,36.7,4.5,3939,3,3939
Blackwood Pet Food,Food,1,39.99,4.6,277,2,277
Blackwood Pet Food,Treats,1,5.39,4.4,307,1,307
Blanou,Training & Behavior Aids,1,8.99,4.3,198,1,198
Blaoicni,Apparel & Accessories,1,7.99,4.5,222,1,222
Blazin,"Collars, Harnesses & Leashes",1,18.99,4.6,17404,7,17404
Blazin,Training & Behavior Aids,1,24.99,4.6,1871,1,1871
Blue Buffalo,Food,29,40.12761904761904,4.555172413793104,163184,105,163184
Blue Buffalo,Treats,9,15.74375,4.6,69047,67,69047
Blue Dog Bakery,Treats,2,39.11,4.55,5111,9,5111
Blue Microphones,Treats,1,25.99,4.6,797,1,797
Blue Spotted,Aquarium Décor,1,6.99,4.1,441,1,441
Blueberry Pet,"Collars, Harnesses & Leashes",15,14.413076923076924,4.52,100542,35,100542
Blueberry Pet,Apparel & Accessories,7,22.689999999999998,4.5285714285714285,13778,13,13778
Blueberry Pet,Beds & Furniture,1,74.99,4.6,2373,3,2373
Blueberry Pet,Toys,1,15.99,4.3,1164,2,1164
Bocce's Bakery,Treats,3,6.5,4.633333333333334,8926,4,8926
Bodhi Dog,Grooming,4,13.965,4.375,52510,9,52510
Bodhi Dog,Health Supplies,1,6.99,4.2,492,1,492
Bodhi Dog,Litter & Housebreaking,1,19.99,4.2,4122,2,4122
Bodhi Dog,Repellents & Training Aids,1,13.99,3.4,10124,3,10124
Bodhi Dog,Training & Behavior Aids,1,14.99,3.4,26656,8,26656
Bodhi Dog,Treats,1,21.99,4.4,1921,5,1921
Boence,Beds & Furniture,1,,4.6,567,1,567
Boence,Grooming,1,,3.7,3345,1,3345
BohoFarm,Beds & Furniture,1,,4.0,18,1,18
Bojafa,Toys,1,9.99,4.3,1667,1,1667
Bokelai,"Collars, Harnesses & Leashes",1,15.99,4.4,340,1,340
Bolbove,Apparel,1,12.99,4.5,1415,1,1415
Bolux,"Collars, Harnesses & Leashes",4,17.865,4.25,48931,19,48931
Bolux,Litter & Housebreaking,1,8.99,4.3,89,1,89
Bonaweite,Apparel & Accessories,1,43.95,4.2,87,1,87
Bond,"Collars, Harnesses & Leashes",1,17.99,4.6,1775,2,1775
Bone Dry,Beds & Furniture,7,26.83,4.285714285714286,6976,24,6976
Bone Dry,Toys,4,13.49,3.9250000000000003,1098,14,1098
Bone Dry,Feeding & Watering Supplies,2,15.815,4.6,17608,20,17608
Bone Dry,Grooming,1,12.0,4.5,219,6,219
Bonka Bird Toys,Toys,1,10.99,4.6,612,1,612
Bonne et Filou,Treats,1,20.02,4.3,1039,1,1039
Bonve Pet,Grooming,1,,4.2,730,1,730
Booster Bath,Grooming,1,174.99,4.5,3290,1,3290
Boss Pet Products,Training & Behavior Aids,1,13.95,4.6,1974,1,1974
Bougainvillea,"Collars, Harnesses & Leashes",1,16.99,3.9,1470,2,1470
Bowhaus,Beds & Furniture,1,50.9,4.5,214,1,214
Bowite,Apparel & Accessories,2,23.74,3.9,333,2,333
BoxDog,Toys,1,21.99,3.6,63,1,63
BoxiePro,Litter & Housebreaking,1,21.99,3.9,1353,6,1353
Boxiecat,Litter & Housebreaking,2,33.49,4.15,9483,6,9483
Brave Bark,Feeding & Watering Supplies,1,38.99,4.3,1553,1,1553
Breeze Touch,Grooming,1,9.99,4.3,1975,2,1975
Brellavi,Training & Behavior Aids,1,21.99,3.8,7572,4,7572
Brindle,Beds & Furniture,3,34.99666666666667,4.5,15332,11,15332
Bubba Rose Biscuit Company,Treats,1,18.99,3.7,2220,1,2220
Bubblepup,"Collars, Harnesses & Leashes",1,15.89,4.4,695,2,695
Buckle-Down,"Collars, Harnesses & Leashes",1,30.39,4.2,4,1,4
Buddy Biscuits,Treats,1,,4.7,396,8,396
Buffalo Range,Treats,1,9.99,4.6,2073,2,2073
Bullibone,Toys,1,16.99,4.3,9069,2,9069
Bully Max,Food,1,55.99,4.5,89,1,89
BurgeonNest,Beds & Furniture,1,29.99,4.5,1853,1,1853
Burt's Bees,Health Supplies,3,11.435,4.2,5803,4,5803
Burt's Bees,Grooming,2,14.329999999999998,4.199999999999999,9671,5,9671
Busy,Treats,2,23.159999999999997,4.65,27149,1517,27149
Butler,Treats,1,65.89,4.7,7290,3,7290
Bwealthest,Apparel & Accessories,1,10.99,4.4,5079,3,5079
C COMFORTLAND,Apparel & Accessories,1,,4.3,2,1,2
CAISANG,Apparel & Accessories,1,17.99,4.3,256,1,256
CALIDAKA,Health Supplies,1,,3.7,23,1,23
CALM-N-COMFY,Beds & Furniture,1,65.99,4.4,130,1,130
CANIDAE,Food,4,34.973333333333336,4.225,10043,12,10043
CANIDAE,Treats,1,,4.4,361,2,361
CATHYLIFE,"Doors, Gates & Ramps",1,9.99,4.5,1354,1,1354
CBROSEY,Health Supplies,1,12.2,3.9,677,1,677
CBROSEY,Treats,1,,4.5,112,1,112
CCAATVG,Litter & Housebreaking,1,16.99,4.5,292,1,292
CEESC,Toys,1,,3.1,58,1,58
CEVA Animal Health,Health Supplies,1,,4.3,1832,3,1832
CEVICOLZE,Beds & Furniture,1,36.99,4.2,2655,2,2655
CHAMPETS,Beds & Furniture,1,19.79,4.2,2590,2,2590
CHBORCHICEN,Apparel & Accessories,1,11.99,4.4,3981,1,3981
CHBORCHICEN,"Collars, Harnesses & Leashes",1,8.99,4.4,3396,1,3396
CHBORLESS,Apparel & Accessories,1,10.99,4.3,12980,5,12980
CHEE RAY,Beds & Furniture,1,28.0,4.6,1074,1,1074
CHEERHUNTING,Beds & Furniture,1,30.89,4.3,4053,2,4053
CHENEDY,"Collars, Harnesses & Leashes",1,7.98,4.6,516,1,516
CHOMP,Treats,1,,4.4,132,1,132
CHONGFA,Beds & Furniture,1,39.99,4.2,4754,1,4754
CHUKCHI,"Collars, Harnesses & Leashes",1,6.99,4.6,1219,1,1219
CLOUDZONE,Beds & Furniture,2,45.67,4.0,9094,5,9094
CNZ,Aquarium Décor,2,13.485,4.45,4673,3,4673
COLIBROX,Aquariums & Fish Bowls,1,107.48,4.2,1984,1,1984
CONAIRPRO dog & cat,Grooming,2,24.490000000000002,4.5,2020,2,2020
COODIA,Carriers & Travel Products,1,15.99,4.2,3171,1,3171
COOYOO,"Collars, Harnesses & Leashes",1,15.55,4.6,13587,4,13587
COZIWOW,Beds & Furniture,1,23.99,3.3,1165,1,1165
COZIWOW,Litter & Housebreaking,1,89.99,4.3,1403,1,1403
CRAVE,Food,2,63.485,4.6,5392,4,5392
CRAZY LIBERTY,Apparel & Accessories,1,14.89,4.3,3380,2,3380
CREDIT 5 STAR,Toys,1,9.99,4.0,1513,2,1513
CROWATTS,"Collars, Harnesses & Leashes",1,10.99,4.7,653,3,653
CSD,Feeding & Watering Supplies,1,,4.5,22,1,22
CURE FOR THE CRAVE CANINE CRAVERS DOG TREATS,Treats,1,15.99,4.3,582,1,582
CUTEMATE,Beds & Furniture,1,12.99,4.5,1699,1,1699
Cadet,Treats,6,17.901666666666667,4.45,15003,30,15003
"Caldera International, Inc.",Feeding & Watering Supplies,1,53.41,2.8,32,3,32
Caldwell's Pet Supply Co.,"Doors, Gates & Ramps",1,11.99,4.6,12592,7,12592
Calm Paws Behavior Support,Health Supplies,1,12.99,3.6,175,1,175
Canine Carry Outs,Treats,1,5.48,4.6,111,4,111
Canine Caviar,Food,1,44.99,4.5,1365,5,1365
Canine Equipment,"Collars, Harnesses & Leashes",1,,4.6,77,2,77
Canine Friendly,"Collars, Harnesses & Leashes",2,15.99,4.05,3175,3,3175
Canine Naturals,Treats,1,22.99,4.4,6726,15,6726
CanineStar,"Collars, Harnesses & Leashes",1,,3.0,41,2,41
Caninus Collars,"Collars, Harnesses & Leashes",1,19.99,4.7,255,1,255
Carefree Fish,Aquarium Cleaners,1,9.99,4.4,513,1,513
Carefresh,Houses & Habitats,1,8.99,4.6,39063,12,39063
